,"Глубина переработки, %","Глубина переработки, %","Выход светлых нефтепродуктов, %","Выход светлых нефтепродуктов, %",Индекс Нельсона,Индекс Нельсона,ИК,ИК
,mean,count,mean,count,mean,count,mean,count
Регион,,,,,,,,
Астраханская область,81.0,1,59.43444444444444,1,4.536333333333333,1,66.98670460678015,1
Волгоградская область,92.3,1,71.6,1,6.9,1,35.791111111111114,1
Иркутская область,76.47,1,63.3,1,4.55,1,27.5,1
Кемеровская область,58.1,1,59.43444444444444,1,1.0,1,150.82500000000002,1
Краснодарский край,57.550000000000004,4,57.20083333333333,4,1.2525,4,145.83983455743066,4
Красноярский край,70.4,1,56.0,1,3.6,1,125.35555555555555,1
Ленинградская область,90.3,2,56.66722222222222,2,4.536333333333333,2,116.47797163599783,2
Московская облатссь,80.3,1,55.1,1,7.27,1,119.03009605122735,1
Нижегородская область,76.6,1,63.7,1,7.4,1,111.42670967741937,1
Омская область,90.6,1,70.92,1,8.5,1,38.01243902439025,1
Оренбургская область,72.2,1,59.43444444444444,1,4.8,1,103.79746835443039,1
Пермский край,96.4,1,68.0,1,9.4,1,53.00983870967742,1
Республика Башкортостан,83.1,2,62.71722222222222,2,7.8149999999999995,2,69.60542450142451,2
Республика Коми,74.6,1,52.5,1,3.8,1,173.14043478260868,1
Республика Марий Эл,84.4,1,59.43444444444444,1,1.7,1,58.85533333333333,1
Республика Татарстан,73.0,2,59.43444444444444,2,6.2,2,97.76064999026127,2
Ростовская область,97.8,1,59.43444444444444,1,1.2,1,4.746875,1
Рязанская область,70.7,1,57.8,1,5.27,1,124.78270676691731,1
Самарская область,71.83333333333333,3,56.800000000000004,3,4.989999999999999,3,119.99488601305927,3
Саратовская область,79.4,1,50.8,1,4.0,1,107.59827586206897,1
Тюменская область,50.1,1,59.43444444444444,1,2.3,1,177.68185185185192,1
ХМАО,88.0,1,59.43444444444444,1,4.536333333333333,1,10.921981443235413,1
Хабаровский край,81.7,2,61.71722222222222,2,3.4450000000000003,2,90.70595238095238,2
ЯНАО,100.0,2,59.43444444444444,2,4.536333333333333,2,9.641871656284712,2
Ярославская область,64.05,2,57.36722222222222,2,4.75,2,126.87252531358621,2
