,Астраханская область,Волгоградская область,Иркутская область,Кабардино-Балкарская Республика,Кемеровская область,Краснодарский край,Красноярский край,Курганская область,Ленинградская область,Нижегородская область,Новосибирская область,Омская область,Оренбургская область,Пермский край,Приморский край,Республика Башкортостан,Республика Дагестан,Республика Калмыкия,Республика Коми,Республика Марий Эл,Республика Татарстан (Татарстан),Ростовская область,Рязанская область,Саратовская область,Сахалинская область,Тверская область,Томская область,Тюменская область,Ярославская область
2012-01-01,9724.904809768655,10369.284897617983,12310.690585145581,,,10636.828407987588,11201.582890248517,9801.257819004995,11275.155610125123,11865.01072015198,15213.63662765297,9269.478952019846,10219.700264432795,13411.527399730383,15543.56770595227,7473.255999348088,7932.750221560745,7248.83577772728,11333.976602940045,8757.184378337866,,8530.803119518034,8831.899356701446,10807.530587295678,7587.519090987481,,13054.599053109045,9572.510006063942,6177.056107940392
2012-02-01,10410.510598857347,13116.108466996988,13369.409975468101,,,11650.518155268806,11515.227211175474,9842.423101844817,11275.155610125123,11276.506188432444,16298.368919204628,9551.27111216125,11209.989220056334,12660.481865345482,15543.56770595227,8142.112411289742,7814.55224325949,7831.642174256553,14780.638887894112,9101.341724406546,,10574.783546954553,7305.747147863436,10549.230606259312,7555.651510805333,,13054.599053109045,9427.007853971769,6268.47653833791
2012-03-01,10410.510598857347,13614.520588742873,12718.319709662803,,,12088.577637906912,11722.501300976634,10781.390265760812,11275.155610125123,11374.611792271808,17841.824455853308,9551.27111216125,11958.816499956098,12768.095961200917,15543.56770595227,8630.639155967126,6602.515190329942,8025.866900178116,17343.601671054952,9155.949774752986,,11313.960916886677,7380.99634348643,10899.465062387122,8610.420461713758,,13404.462307732367,10311.261190674322,6331.161303721289
2012-04-01,10410.510598857347,11432.11293836739,13289.372264626661,,,12369.032639106354,11479.845524046419,10781.390265760812,11275.155610125123,10884.366024024892,16230.70770748975,9643.918441949214,11778.238370806761,12446.339942978655,15543.56770595227,8479.602970737702,6715.418200084585,8025.866900178116,14964.059521786214,9166.021319505215,,10785.598942068069,6962.493850810749,10789.380465257009,8969.474994967222,,13521.08112980964,10369.0042533421,6393.206684497758
2012-05-01,10846.710992949469,10731.32441524547,13100.663178468965,,,11184.079312279966,11971.182912475604,10290.837008668697,11275.155610125123,10884.366024024892,15620.433097688136,9925.520860454131,11561.518784783915,12232.262895959422,15543.56770595227,8439.748836775236,7530.669969574855,8025.866900178116,15166.074325330324,8974.451473927556,,11305.46481107575,6101.929610850541,11061.272852981487,9224.208084824291,,13287.166426263935,8779.435901304756,6517.874214845465
2012-06-01,9537.512976100468,10467.333834630432,13222.499346028728,,,10500.732066299659,11768.869921254769,10290.837008668697,11275.155610125123,10688.447435592443,15620.433097688136,9925.520860454131,11710.662377107628,12232.262895959422,15543.56770595227,7672.575667512366,6950.80838191759,6590.039311736251,13364.344695481082,8782.398212385506,,10924.470646942496,5415.462529629855,9121.125594568533,8976.076887342519,,13053.31229716169,8786.459450025799,5587.121776965532
2012-07-01,8602.836704442623,9298.132645302212,13501.494082229934,,,9862.287556668638,11775.931243207524,9556.071246249752,11275.155610125123,10688.447435592443,15620.433097688136,9877.878360323952,11349.973975892713,12232.262895959422,15543.56770595227,7647.256167809575,6921.6149867135355,6590.039311736251,11745.922552858323,8677.00943383688,,9577.483416174486,6375.624036133229,10515.745697978064,9321.655847505204,,12820.963338272211,8838.299560780952,5989.953257084748
2012-08-01,8602.836704442623,11031.304570386545,13115.351351478159,,,11617.774741755657,10371.062645892867,9800.706670153746,11275.155610125123,12060.844086322513,16299.921937437568,10486.355667319907,13180.724778204209,12464.675890982651,17000.0,8476.218736400133,6921.6149867135355,7185.119861586034,13936.537108966404,7847.487331962073,,10878.10566409098,7446.0913118,11656.704106208683,9766.298831431204,,13053.02277469494,9460.51584985993,7635.393416805928
2012-09-01,11782.445150404617,13497.904272324975,13405.200616345826,,,13112.982351019611,12228.519965772277,9800.706670153746,11482.618473351424,12060.844086322513,16977.998690034972,11329.458662972429,14026.927308964918,13465.58936502856,17000.0,9752.737278101993,7382.594544828657,7979.07560629129,16418.63436807332,7847.487331962073,,9842.510004869519,7933.06568359172,12471.50772323267,10739.998824924895,,12820.67896930537,8568.38920521814,7449.853356777543
2012-10-01,10971.81292405678,12496.359775318462,14667.970514405604,,,12437.663759942101,12810.597516143038,10780.77733716912,11482.618473351424,11080.297462104492,16706.350710994415,11516.394730911476,12122.070580407482,12392.381892635784,17000.0,8830.128331593545,8967.63759360337,7974.2881609275155,14589.598499469952,7656.008641062199,,10734.241411310697,6407.537152637032,11382.745098994455,10785.10681998958,,12820.67896930537,8510.980997543178,7268.821920207848
