,Дальневосточный федеральный округ,Приволжский федеральный округ,Российская Федерация,Северо-Западный федеральный округ,Северо-Кавказский федеральный округ,Сибирский федеральный округ,Уральский федеральный округ,Южный федеральный округ
1998-01-01,,,383.74,,,,,
1998-02-01,,,379.12,,,,,
1998-03-01,,,353.17,,,,,
1998-04-01,,,328.14,,,,,
1998-05-01,,,314.56,,,,,
1998-06-01,,,285.04,,,,,
1998-07-01,,,271.88,,,,,
1998-08-01,,,249.26,,,,,
1998-09-01,,,248.71,,,,,
1998-10-01,,,278.35,,,,,
1998-11-01,,,310.81,,,,,
1998-12-01,,,339.0,,,,,
1999-01-01,,,391.07,,,,,
1999-02-01,,,408.42,,,,,
1999-03-01,,,426.22,,,,,
1999-04-01,,,447.24,,,,,
1999-05-01,,,475.26,,,,,
1999-06-01,,,501.48,,,,,
1999-07-01,,,566.93,,,,,
1999-08-01,,,625.87,,,,,
1999-09-01,,,706.5,,,,,
1999-10-01,,,850.73,,,,,
1999-11-01,,,935.26,,,,,
1999-12-01,,,999.64,,,,,
2000-01-01,1739.93,1441.2,1113.65,1192.86,,625.0,883.65,1209.84
2000-02-01,1761.26,1438.98,1116.17,1203.86,,570.04,886.2,1235.68
2000-03-01,1869.88,1459.38,1138.92,1369.05,,570.0,887.68,1415.5
2000-04-01,2472.24,1518.91,1191.64,1152.15,,611.67,957.53,1329.67
2000-05-01,2510.53,1536.42,1203.53,1173.07,,611.67,975.08,1305.08
2000-06-01,2504.27,1556.9,1204.32,1173.62,,611.67,975.87,1317.66
2000-07-01,2538.81,1573.55,1271.27,1174.55,,653.35,1079.16,1485.85
2000-08-01,2460.48,1580.76,1285.71,1237.52,,653.35,1090.33,1579.03
2000-09-01,1394.62,1681.65,1338.25,1278.04,,845.0,1105.57,1503.85
2000-10-01,1469.48,1930.86,1459.35,1278.83,,945.0,1138.33,1605.82
2000-11-01,1769.92,1983.77,1485.5,1278.78,,945.0,1151.11,1555.73
2000-12-01,2544.11,2104.65,1545.62,1279.07,,945.0,1156.3,1578.33
2001-01-01,2388.39,2197.1,1652.34,2532.83,,936.33,1356.46,1672.89
2001-02-01,2426.46,2070.49,1599.47,2703.56,,936.03,1301.27,1696.72
2001-03-01,2604.08,2002.31,1572.51,2448.24,,936.67,1304.37,1767.43
2001-04-01,2610.36,2051.41,1593.15,2338.39,,1034.93,1326.1,1868.25
2001-05-01,2606.59,2097.32,1618.36,2535.79,,1144.86,1327.45,1917.98
2001-06-01,2373.72,2067.2,1635.14,2606.25,,1224.26,1362.32,1997.88
2001-07-01,2528.42,2053.63,1625.69,2483.03,,1247.27,1339.57,1911.12
2001-08-01,2214.16,1997.98,1619.79,2397.63,,1247.08,1379.74,1898.68
2001-09-01,2317.99,1934.65,1563.8,2386.7,,1244.76,1311.92,1874.28
2001-10-01,2285.97,1943.48,1585.42,2301.68,,1244.91,1357.37,1862.02
2001-11-01,2052.16,1800.72,1537.93,2269.87,,1239.77,1351.58,1830.34
2001-12-01,2538.33,1679.68,1503.52,1877.79,,1224.48,1385.84,1774.32
2002-01-01,2234.61,1693.51,1453.3,1737.5,,1049.01,1332.39,1690.22
2002-02-01,2276.3,1547.29,1241.74,1704.73,,844.02,1088.62,1633.24
2002-03-01,2807.09,1642.03,1225.32,1786.02,,691.32,1044.57,1557.42
2002-04-01,2996.17,1862.67,1270.24,1813.15,,732.73,1017.53,1755.62
2002-05-01,2208.2,1944.82,1338.12,1864.29,,859.72,1060.04,1821.53
2002-06-01,2572.38,2247.61,1554.78,2334.81,,1020.19,1226.44,2236.45
2002-07-01,2165.99,2285.39,1790.93,2420.95,,1171.35,1565.54,2327.2
2002-08-01,2200.22,2468.66,1932.2,2373.04,,1225.21,1723.31,2463.93
2002-09-01,2324.66,2618.53,1880.62,2411.45,,1450.1,1563.67,2493.22
2002-10-01,2570.95,2746.17,2012.81,2552.01,,1720.42,1689.19,2266.97
2002-11-01,2640.63,2515.92,2012.82,2500.38,,1869.28,1765.98,2570.41
2002-12-01,2722.01,2341.7,1929.1,2434.43,,1644.47,1752.13,2294.69
2003-01-01,2656.05,2376.71,1903.1,2185.83,,1380.92,1734.06,2206.13
2003-02-01,2606.95,2454.94,1844.15,2252.69,,1388.22,1606.95,2325.45
2003-03-01,2537.27,2230.05,1702.6,2449.44,,1376.73,1470.41,2586.1
2003-04-01,2564.88,2482.53,1808.46,2474.53,,1533.88,1502.98,2275.22
2003-05-01,2700.74,2139.88,1696.78,1906.67,,1454.0,1501.56,1968.94
2003-06-01,2451.41,2094.47,1633.25,1963.37,,1406.97,1427.4,2131.74
2003-07-01,2359.11,2337.59,1826.68,2698.24,,1337.12,1584.29,2231.98
2003-08-01,2468.17,2561.72,2006.67,2832.22,,1373.9,1787.49,2388.47
2003-09-01,2342.34,2691.95,2064.83,2968.37,,1432.42,1819.77,2501.64
2003-10-01,2418.36,2648.14,2179.1,3000.57,,1463.89,2007.76,2482.0
2003-11-01,2633.14,2671.81,2101.56,2727.5,,1512.48,1908.9,2411.4
2003-12-01,2594.76,2658.99,2065.44,3135.97,,1591.65,1839.78,2299.34
2004-01-01,2792.17,2572.72,1997.0,3157.98,,1912.44,1806.76,2663.71
2004-02-01,2778.92,2652.86,2175.06,3012.72,,1915.82,1975.89,2637.5
2004-03-01,2854.69,2712.07,2276.79,3052.23,,2247.33,2099.13,2667.07
2004-04-01,2859.8,2836.31,2298.04,3117.27,,2366.99,2062.82,2661.82
2004-05-01,2638.22,2823.16,2317.89,3289.65,,2345.71,2099.6,2775.51
2004-06-01,2631.44,3157.23,2539.76,3257.96,,2654.71,2281.44,2862.29
2004-07-01,2767.3,3320.0,2625.84,3509.96,,2591.66,2333.3,3125.19
2004-08-01,2669.37,3375.34,2742.51,3459.26,,2657.29,2466.78,2863.22
2004-09-01,2817.02,3706.24,3009.49,3857.11,,2670.1,2680.04,3273.35
2004-10-01,2996.76,3826.75,3027.87,3620.99,,2688.98,2726.03,3227.18
2004-11-01,2803.28,4125.5,3422.69,3478.48,,3190.74,3219.58,3305.06
2004-12-01,3044.83,3975.53,3425.51,2938.1,,3103.75,3306.79,3174.62
2005-01-01,2910.24,3540.78,3093.52,3205.76,,2685.81,2981.3,2865.28
2005-02-01,3132.93,3635.86,2810.61,3369.62,,2248.98,2596.73,3012.31
2005-03-01,3292.6,4095.24,3358.94,3914.77,,3515.45,3093.33,3244.01
2005-04-01,3533.66,4963.44,3807.49,4366.68,,3755.82,3468.42,3808.47
2005-05-01,3840.71,5175.43,4335.64,4643.57,,4385.47,4080.93,4155.44
2005-06-01,4227.28,5228.9,4311.75,4441.0,,4687.73,4024.93,3977.85
2005-07-01,4049.6,5447.73,4361.72,5002.08,,4178.61,4013.03,4478.49
2005-08-01,4111.63,6130.68,4855.38,5874.48,,4751.05,4460.07,4923.08
2005-09-01,3704.8,6707.44,5555.42,6073.04,,6065.97,5220.29,5372.44
2005-10-01,3901.43,6811.1,5713.31,5730.21,,5794.42,5437.5,5100.9
2005-11-01,4624.42,6381.03,5469.13,5379.96,,5858.05,5229.5,4974.07
2005-12-01,4801.94,5548.89,4811.53,4527.56,,5299.71,4618.75,4144.73
2006-01-01,5063.825,5417.473000000001,4443.460999999999,4578.155,,4437.088,4146.818,4306.545999999999
2006-02-01,4859.388,5998.334,4929.635,5333.389,,4400.726,4605.849,5114.96
2006-03-01,4933.102,6484.619000000001,5498.706,5600.736999999999,,5498.859,5203.981,5486.638000000001
2006-04-01,4929.704000000001,6623.170999999999,5418.738,5175.244000000001,,5945.166,5031.031,4926.392
2006-05-01,4846.505999999999,6603.691,5476.446999999999,5809.835999999999,,6114.569,5116.487,5316.246
2006-06-01,4889.307,7068.871999999999,5613.561,5688.130999999999,,6084.607,5162.89,5144.057
2006-07-01,4888.583,6977.49,5674.111,5697.348000000001,,5817.986999999999,5290.218000000001,5092.931
2006-08-01,4959.173,7288.608,5927.592,6402.3240000000005,,6289.061,5491.871999999999,5791.831
2006-09-01,4951.854,7628.203,6214.677,5958.041,,6355.6,5829.528,6629.27
2006-10-01,4969.016,6251.821,5365.24,4210.604,,4532.380999999999,5212.630999999999,4637.812
2006-11-01,4980.273,5492.474,4343.394,3694.728,,3847.37,3994.1820000000002,3882.785
2006-12-01,4983.32,5433.553000000001,4434.478,4660.648,,4502.363,4060.295,4298.72
2007-01-01,4837.75,4823.6,4604.1,3985.64,,4563.36,4554.52,4594.43
2007-02-01,6111.72,4035.0,4105.44,3312.89,,3810.47,4191.69,3700.36
2007-03-01,6003.8,4298.64,3926.04,4313.42,,4331.02,3725.97,3967.89
