,Дальневосточный федеральный округ,Приволжский федеральный округ,Российская Федерация,Северо-Западный федеральный округ,Северо-Кавказский федеральный округ,Сибирский федеральный округ,Уральский федеральный округ,Южный федеральный округ
2010-01-01,"6580,85","6056,01","5985,85","5930,32","7616,93","6062,02","5937,65","6339,58"
2010-02-01,"7658,26","6537,99","6119,67","6799,37","6605,98","6308,1","5893,62","7012,18"
2010-03-01,"6844,12","6425,93","6350,37","7073,51","6826,18","6708,75","6240,83","7373,64"
2010-04-01,"6848,63","7099,82","6726,45","6920,19","6957,69","6689,15","6585,11","7213,34"
2010-05-01,"7483,43","7420,19","7008,93","7453,66","7293,37","7089,2","6812,35","7718,01"
2010-06-01,"7475,94","5810,79","6138,31","5714,85","5207,18","5610,98","6318,32","5861,89"
2010-07-01,"7113,41","6551,91","6176,55","7706,18","7133,8","7552,57","5752,06","8159,99"
2010-08-01,"7477,43","6706,77","6915,89","7015,2","6987,23","6579,65","7010,13","7356,97"
2010-09-01,"7486,09","6713,05","6420,35","6454,74","6291,89","5781,95","6337,97","6756,43"
2010-10-01,"7482,69","7179,25","6699,52","7721,43","7583,63","7401,87","6314,3","8086,21"
2010-11-01,"7481,95","7805,08","7498,31","7742,65","8964,73","7530,15","7339,88","8028,36"
2010-12-01,"7642,03","7809,14","7566,46","7875,84","8711,47","7458,33","7443,23","8126,16"
2011-01-01,"7639,52","8223,46","7963,37","8660,88","9442,73","8346,65","7761,37","8770,69"
2011-02-01,"8453,82","8533,31","8397,74","8728,95","9731,28","8096,79","8349,04","8917,65"
2011-03-01,"9270,84","9587,44","8661,69","9191,13","10497,11","9391,83","8171,53","9450,74"
2011-04-01,"9257,17","9612,48","9233,57","9599,46","11424,03","9266,43","9037,03","9780,29"
2011-05-01,"9778,8","9549,45","9444,08","10313,16","11476,92","10103,15","9236,45","10607,84"
2011-06-01,"9773,3","8033,57","8521,46","8010,15","8123,1","7764,48","8829,94","8406,1"
2011-07-01,"9296,38","7552,65","7725,5",8690,"8515,03","6894,88","7785,83","9147,94"
2011-08-01,"9733,32","8976,47","8797,28","9946,76","11080,91","9556,09","8483,45","10404,43"
2011-09-01,"9453,11","8716,02","8834,3","8921,9","9875,38","8695,28","8869,57","9236,22"
2011-10-01,"9460,42","9215,41","8893,69","9762,85","10058,03","8899,07","8683,99","10163,65"
2011-11-01,"9484,61","9936,99","9424,31","11123,23","10970,31","9639,3","9076,15","11563,11"
2011-12-01,"9490,93","10394,16","9765,03","10942,01","11106,02","9701,07","9502,53","10226,79"
2012-01-01,"10070,9","9852,18","9692,95","9897,99","11550,26","10037,16",9571,"10624,05"
2012-02-01,"10061,05","10473,16","10298,11","9102,85","11195,14","10571,88","10273,2","10785,36"
2012-03-01,"11303,21","11442,37","11505,02","11834,85","12167,95","11665,7","11473,56","12545,66"
2012-04-01,"11294,1","11009,28","11720,93","11954,54","12284,04","10439,07","12113,9","10637,38"
2012-05-01,"10334,54","9317,86","9841,22","9713,05","10528,29","9664,23","9988,43","9935,51"
2012-06-01,"10328,6","8879,17","9247,64","9118,03","8838,8","9538,29","9261,01","9333,28"
2012-07-01,"9000,55","7422,79","7913,73","6954,82","6630,45","7998,45","8016,98","9197,54"
2012-08-01,"11341,46","9936,1","10110,88","11596,36","10733,05","11450,54","9807,22","11709,43"
2012-09-01,"11333,96","12209,01","12685,32","12496,6","12734,72","11667,75","13039,69","12284,38"
2012-10-01,"10884,82","10686,98","11409,73","10464,5","10881,7","10503,42","11796,61","10720,7"
2012-11-01,"10195,64","10024,49","10576,42","9867,8","10331,68","10285,65","10808,98","10273,52"
2012-12-01,"10187,75","10141,03","10360,13","10886,18","10545,02","10147,01","10414,02","11377,71"
2013-01-01,"9343,2","10265,9","10358,48","10430,41","11394,33","10522,6","10340,14","11102,9"
2013-02-01,"8712,59","10551,16","10630,2","10998,98","12034,03","10559,6","10638,51","10992,7"
2013-03-01,"10299,14","10524,34","10722,78","10332,09","12582,12","10479,91","10826,14","10640,73"
2013-04-01,"8862,81","9508,12","9707,3","9630,83","10203,98","9747,01","9748,98","9776,02"
2013-05-01,"9309,24","8877,91","9207,56","8996,79","9649,18","9251,14","9276,04","9449,99"
2013-06-01,"10347,58","9749,6","9743,7","10200,95","10457,79","10648,36","9552,65","10724,09"
2013-07-01,"8877,32","10417,32","10629,38","10796,94","10586,6","10549,23","10674,96","10561,33"
2013-08-01,"9145,33","11456,14","11261,19","11757,62","12490,3","11819,22","11141,85","11906,48"
2013-09-01,"10513,35","11984,58","12096,25","11631,47","13607,27","11904,11","12154,91","11845,84"
2013-10-01,"11619,33","10986,61","11531,6","10292,93","11904,84","10615,79","11782,62","11066,32"
2013-11-01,"10939,22","10286,98","10392,13","9799,15","11513,51","10947,64","10345,4","10709,8"
2013-12-01,"11112,86","10983,45","11328,25","11066,51","11969,6","11611,02","11343,63","11972,44"
2014-01-01,"10993,73","11708,75","11604,25","11551,12","13303,96","11632,1","11561,71","11936,22"
2014-02-01,"10967,39","10830,35","11059,32","11621,01","11945,15","11237,35","11075,98","11145,77"
2014-03-01,"10923,57","11734,08","11992,43","11917,81","13443,76","11643,35","12145,88","12544,89"
2014-04-01,"10887,66","12201,39","12241,83","12319,8","13136,13","11872,36","12327,35","12742,58"
2014-05-01,"10937,64","12234,45","11955,17","11990,64","13035,76","11997,09","11800,11","12415,15"
2014-06-01,"11028,42","12430,35","12263,23","12289,82","13633,09","12062,71","12228,59","12949,7"
2014-07-01,"11121,88","12360,3","12348,08","11660,28","13724,95","12587,39","12316,35","12879,59"
2014-08-01,"11384,33","11698,25","11583,66","11600,48","12957,05","11039,57","11644,28","11924,99"
2014-09-01,"11318,34","10848,42","10836,46","10643,2","11631,98","11085,35","10775,36","11269,62"
2014-10-01,"11235,55","10972,13","11183,03","10690,03","10960,23","11413,91","11220,19","11334,63"
2014-11-01,"11166,31","10183,43","10214,98","10905,75","10820,87","10286,73","10170,82","10463,66"
2014-12-01,"11128,21","10217,88","10064,22",9566,"10115,15","11040,09","9829,88","10220,04"
2015-01-01,"11143,52","9783,87","9391,2","11445,86","7464,19","11722,02","8681,98","8272,21"
2015-02-01,"12937,25","10665,87","9520,54","15712,57","8601,22","10932,78","8708,21","9332,42"
