Регион,Акцизы на нефтепродукты (факт. 2016 г. ),Транспортный налог (факт. 2016 г. ),Межбюджетные трансферты из федерального бюджета (факт. 2016 г. ),Объем расходов на дорожную детятельность (факт. 2016 г. ),Не использованные бюджетные ассигнования регионального дорожного фонда (факт. 2016 г. ),Акцизы на нефтепродукты (Прогноз 2017 г.),Транспортный налог (Прогноз 2017 г.),Межбюджетные трансферты из федерального бюджета (Прогноз 2017 г.)
Белгородская область,5015.15988344,1573.00746239,976.68939,8900.91069739,,3486.26689606924,1786.42880961796,645.247
Брянская область,2930.91325693,828.27318518,909.62304,4447.53377542,221.27570669,2382.25936731797,838.747935351667,526.8251
Владимирская область,3601.42525391,1283.18611258,1268.5535,6441.69180899,,2663.92211852514,1376.22580782982,633.3144
Воронежская область,6115.93894163,2431.7573399,1137.18427,8356.5351381,1328.34541343,4724.47844157217,2735.67112827705,1156.1334
Ивановская область,2155.83287136,642.74999969,356.41684,2045.44412512,1109.55558593,1521.53113642309,542.845355615881,114.4374
Тверская область,4567.65215623,1064.3585698,1221.8929,4008.34931106,2845.55431497,3362.55619749981,1256.25765936185,803.1412
Калужская область,3308.70872558,803.93117943,3590.059659,7775.61750361,,2372.31832904006,866.32110857666,1243.245
Костромская область,1754.42518614,554.739578,755.98277,2729.01026143,336.13727271,1425.15829311789,583.058052843869,756.9236
Курская область,2821.47250625,884.06509413,787.93153,4991.37516852,,2050.89142472129,944.400676466727,511.7789
Липецкая область,3211.744553,960.14272262,543.99877,4163.98251397,551.90353165,2562.85489603316,1079.24083240311,632.9856
Московская область,23340.86368134,12143.81643672,13995.447908,41857.93855806,7622.189468,16351.074987481,11090.0551004705,6321.5253
Орловская область,2984.88403801,725.48461333,995.57953,3832.55765878,873.39052256,2163.55652520416,761.721533865743,432.0488
Рязанская область,2993.87916821,956.72346127,1066.6665,4820.87614205,196.392987429999,2327.58365678951,786.134766354981,942.3459
Смоленская область,3745.72171803,708.55213489,941.715919,4683.09464922,,2827.67311015834,576.235834990386,663.2856
Тамбовская область,2980.76127001,967.88163219,778.02428,5435.33582133,,2172.3930036734,843.503108087021,578.6198
Тульская область,3594.828825,1135.40431672,472.15336,4175.60864129,1026.77786043,3036.98719389857,1116.81218866738,645.7765
Ярославская область,3514.09753159,1078.50205027,371.42382,3903.14749725,1060.87590461,2479.18449052749,1202.39831729361,875
г.Москва,25620.11672514,22086.63264269,3524.31712,117689.22477937,,15398.1160125634,23257.1737862289,
Республика Карелия,2270.52078062,613.98450776,1487.6683,3459.55787144,912.61571694,1693.29018666903,730.628191376931,650.0413
Республика Коми,2419.69002344,846.05671613,665.87402,4092.89248275,,1728.08382064169,919.50800631561,159.081
