Субъект федерации,,Акцизы на нефтепродукты,Акцизы на нефтепродукты (фед.бюджет),Акцизы на нефтепродукты  (суб.бюджет),НДПИ (нефть),"НДПИ (нефть, фед.бюджет)","НДПИ (нефть, суб.бюджет)",НДПИ,НДПИ (фед.бюджет),НДПИ (суб.бюджет),Задолженность по НДПИ,Задолженность по акцизу на нефтепродукты,Задолженность по налогам и сборам в добыче сырой нефти и природного газа,Задолженность по налогам и сборам в добыче сырой нефти и природного газа (удельный вес в общей сумме задолженности),НДПИ (газ горючий природный),"НДПИ (газ горючий природный, фед.бюджет)","НДПИ (газ горючий природный, суб.бюджет)",НДПИ (газовый конденсат ),"НДПИ (газовый конденсат, фед.бюджет)","НДПИ (газовый конденсат, суб.бюджет)"
Алтайский край,2013-01-01,,,,,,,282.26200000009976,104.27800000001837,177.98399999999452,3.554,0.023,,,,,,,,
Алтайский край,2014-01-01,0.0,0,0.0,0.0,0.0,0,268.009,99.016,168.993,4.481,0.023,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Алтайский край,2015-01-01,0.003,,0.003,0.0,0.0,0,324.39599999999996,122.442,201.954,6.182,0.023,0.001,1.20058e-05,0.0,0.0,0,0.0,0.0,0
Алтайский край,2016-01-01,0.5930000000000001,0.07100000000000001,0.522,0.0,0.0,0,374.906,143.372,231.534,6.146,0.515,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Алтайский край,2017-01-01,0.12,0.046,0.07400000000000001,0.0,0.0,0,391.20599999999996,149.40900000000005,241.79700000000003,7.231000000000001,0.0,0.742,0.0038653767,0.0,0.0,0,0.0,0.0,0
Амурская область,2013-01-01,,,,,,0,2792.464999999404,1099.8549999998797,1692.609999999787,5.967999999999998,0.0,,,,,0,,,0
Амурская область,2014-01-01,0.0,0,0.0,0.0,0.0,0,2945.292,1160.363,1784.9289999999999,19.583,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Амурская область,2015-01-01,0.0,,0.0,0.0,0.0,0,3576.178000000001,1416.9830000000004,2159.195,29.988000000000003,0.0,0.001,3.45386e-05,0.0,0.0,0,0.0,0.0,0
Амурская область,2016-01-01,0.0,0,0.0,0.0,0.0,0,3015.18,1192.114,1823.066,36.841,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Амурская область,2017-01-01,0.0,0,0.0,0.0,0.0,0,2600.792,1014.702,1586.09,12.158,0.0,0.001,1.17363e-05,0.0,0.0,0,0.0,0.0,0
Архангельская область,2013-01-01,,,,,,0,129.8189999999978,12.644000000006875,117.17500000000554,3.377,0.0,,,,,0,,,0
Архангельская область,2014-01-01,0.0,0,0.0,0.0,0.0,0,420.24199999999996,10.058,410.184,1.226,0.0,0.008,0.0001914204,0.0,0.0,0,0.0,0.0,0
Архангельская область,2015-01-01,0.0,,0.0,0.0,0.0,0,1746.5030000000004,9.758,1736.745,0.112,0.0,0.002,4.48759e-05,0.0,0.0,0,0.0,0.0,0
Архангельская область,2016-01-01,0.0,0,0.0,0.0,0.0,0,2117.432,10.754,2106.678,4.021,0.0,0.20800000000000002,0.004530259,0.0,0.0,0,0.0,0.0,0
Архангельская область,2017-01-01,0.0,0,0.0,0.0,0.0,0,2373.511,12.142999999999999,2361.368,3.572,0.0,0.003,3.54123e-05,0.0,0.0,0,0.0,0.0,0
Астраханская область,2013-01-01,10859.144999996399,3040.5610000003026,7818.5840000028875,75.47499999993279,75.47499999993279,0,8766.757000000562,8748.133000001271,18.62399999999409,2.648,0.0,,,,,0,,,0
