Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Центральный,Костромская область,Костромская ГРЭС,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428
Уральский,Ханты-Мансийский автономный округ-Югра,Сургутская ГРЭС-1,1755.3475,1915.309166666667,2061.2891666666665,2023.719166666667,2171.22,3396.9300000000007,3459.500833333333,3603.075714285714
Приволжский,Пермский край,Пермская ГРЭС,1980.8891666666668,2258.12,2362.311666666667,2415.815,2600.5775,3426.0016666666656,3622.26,3861.187142857143
Центральный,Рязанская область,Рязанская ГРЭС,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428
Северо-Западный,Ленинградская область,Киришская ГРЭС,1910.1641666666665,2111.686666666667,2480.4791666666665,2723.6758333333332,2724.3658333333333,4302.1799999999985,4362.495833333333,4754.4971428571425
Приволжский,Оренбургская область,Ириклинская ГРЭС,1980.8891666666668,2258.12,2362.311666666667,2415.815,2600.5775,3426.0016666666656,3622.26,3861.187142857143
Северо-Кавказский,Ставропольский край,Ставропольская ГРЭС,2905.349166666667,3008.3191666666667,3127.1941666666667,3235.0291666666667,3354.6508333333336,3921.493333333334,4118.514166666666,4497.65
Уральский,Челябинская область,Троицкая ГРЭС,1755.3475,1915.309166666667,2061.2891666666665,2023.719166666667,2171.22,3396.9300000000007,3459.500833333333,3603.075714285714
Южный,Ростовская область,Новочеркасская ГРЭС,2845.9858333333336,2995.8775,3273.689166666666,3614.625833333334,3963.8025,4921.9825,4593.0250000000015,4679.065714285714
Центральный,Московская область,Каширская ГРЭС,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428
Дальневосточный,Приморский край,Приморская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Сибирский,Красноярский край,Красноярская ГРЭС-2,1620.4083333333335,1676.006666666667,1809.54,2097.6066666666666,2227.1,2932.6966666666667,2988.995000000001,3154.558571428571
Северо-Западный,Санкт-Петербург,Красноярская ГРЭС-2,1910.1641666666665,2111.686666666667,2480.4791666666665,2723.6758333333332,2724.3658333333333,4302.1799999999985,4362.495833333333,4754.4971428571425
Дальневосточный,Республика Бурятия,Гусиноозерская ГРЭС,2113.9066666666668,2299.8808333333336,2517.293333333333,2625.473333333333,2807.6083333333336,3754.1133333333332,3834.848333333333,4044.542857142857
Южный,Краснодарский край,Краснодарская ТЭЦ,2845.9858333333336,2995.8775,3273.689166666666,3614.625833333334,3963.8025,4921.9825,4593.0250000000015,4679.065714285714
