Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Центральный,Костромская область,Костромская ГРЭС,3360.0,3748.0,3864.0,4154.0,4211.166666666671,4316.0,4463.0,4525.0
Уральский,Ханты-Мансийский автономный округ-Югра,Сургутская ГРЭС-1,2280.0,2544.0,2623.0,2819.0,2858.0,2929.0,3029.0,3071.0
Приволжский,Пермский край,Пермская ГРЭС,2891.0,3216.0,3315.0,3564.0,3613.0,3703.0,3829.0,3883.0
Центральный,Рязанская область,Рязанская ГРЭС,3456.0,3854.0,3973.0,4271.0,4329.5,4437.0,4588.0,4652.0
Северо-Западный,Ленинградская область,Киришская ГРЭС,3406.0,3803.0,3921.0,4215.0,4272.833333333329,4379.0,4528.0,4591.0
Приволжский,Оренбургская область,Ириклинская ГРЭС,2958.0,3303.0,3405.0,3660.0,3710.5,3803.0,3932.0,3987.0
Северо-Кавказский,Ставропольский край,Ставропольская ГРЭС,3609.0,4025.0,4149.0,4460.0,4521.5,4634.0,4792.0,4859.0
Уральский,Челябинская область,Троицкая ГРЭС,3023.0,3362.0,3466.0,3726.0,3777.1666666666706,3871.0,4003.0,4059.0
Южный,Ростовская область,Новочеркасская ГРЭС,3604.0,4022.0,4146.0,4457.0,4518.333333333329,4631.0,4788.0,4855.0
Центральный,Московская область,Каширская ГРЭС,3533.0,3943.0,4065.0,4370.0,4429.833333333329,4540.0,4694.0,4760.0
Дальневосточный,Приморский край,Приморская ГРЭС,,,,,,,,
Сибирский,Красноярский край,Красноярская ГРЭС-2,,,,,,,,
Северо-Западный,Санкт-Петербург,Красноярская ГРЭС-2,3406.0,3803.0,3921.0,4215.0,4272.833333333329,4379.0,4528.0,4591.0
Дальневосточный,Республика Бурятия,Гусиноозерская ГРЭС,,,,,,,,
Южный,Краснодарский край,Краснодарская ТЭЦ,3609.0,4025.0,4149.0,4460.0,4521.5,4634.0,4792.0,4859.0
Северо-Западный,Республика Коми,Печорская ГРЭС,2786.0,3098.0,3194.0,3433.0,3480.3333333333303,3567.0,3688.0,3740.0
Северо-Западный,Вологодская область,Череповецкая ГРЭС,3180.0,3550.0,3660.0,3934.0,3988.5,4088.0,4227.0,4286.0
Северо-Западный,Калининградская область,Калининградская ТЭЦ-2,3419.0,3825.0,3943.0,4239.0,4297.166666666671,4404.0,4554.0,4618.0
Северо-Западный,Санкт-Петербург,Северо-Западная ТЭЦ,3406.0,3803.0,3921.0,4215.0,4272.833333333329,4379.0,4528.0,4591.0
Уральский,Свердловская область,Серовская ГРЭС,2963.0,3290.0,3392.0,3646.0,3696.1666666666706,3788.0,3917.0,3972.0
Уральский,Челябинская область,Южноуральская ГРЭС,3023.0,3362.0,3466.0,3726.0,3777.1666666666706,3871.0,4003.0,4059.0
Дальневосточный,Хабаровский край,Хабаровская ТЭЦ-3,,,,,,,,
Сибирский,Омская область,Омская ТЭЦ-5,3002.0,3337.0,3440.0,3698.0,3748.8333333333294,3842.0,3973.0,4029.0
Дальневосточный,Забайкальский край,Харанорская ГРЭС,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Нерюнгринская ГРЭС,,,,,,,,
Дальневосточный,Сахалинская область,Южно-Сахалинская ТЭЦ-1,,,,,,,,
Уральский,Ямало-Ненецкий автономный округ,Уренгойская ГРЭС,1934.0,2161.0,2228.0,2395.0,2428.3333333333303,2489.0,2574.0,2610.0
Дальневосточный,Приморский край,Владивостокская ТЭЦ-2,,,,,,,,
Центральный,Тульская область,Черепетская ГРЭС,3528.0,3940.0,4062.0,4366.0,4426.5,4537.0,4691.0,4757.0
Северо-Западный,Псковская область,Псковская ГРЭС,3489.0,3894.0,4014.0,4315.0,4374.166666666671,4483.0,4635.0,4700.0
Сибирский,Омская область,Омская ТЭЦ-4,3002.0,3337.0,3440.0,3698.0,3748.8333333333294,3842.0,3973.0,4029.0
Дальневосточный,Хабаровский край,Хабаровская ТЭЦ-1,,,,,,,,
Сибирский,Омская область,Омская ТЭЦ-3,3002.0,3337.0,3440.0,3698.0,3748.8333333333294,3842.0,3973.0,4029.0
Дальневосточный,Приморский край,Артемовская ТЭЦ,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Якутская ГРЭС,,,,,,,,
Дальневосточный,Хабаровский край,Комсомольская ТЭЦ-3,,,,,,,,
Южный,Краснодарский край,Адлерская ТЭС,3609.0,4025.0,4149.0,4460.0,4521.5,4634.0,4792.0,4859.0
Сибирский,Томская область,Томская ГРЭС-2,3037.0,3383.0,3488.0,3750.0,3801.3333333333294,3896.0,4028.0,4084.0
