Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Центральный,Костромская область,Костромская ГРЭС,0.0021364,0.0021364,0.0021364,0.0021364,0.0021364,0.0021364,0.0021364,0.0021364
Уральский,Ханты-Мансийский автономный округ-Югра,Сургутская ГРЭС-1,0.0022729,0.0022729,0.0022729,0.0022729,0.0022729,0.0022729,0.0022729,0.0022729
Приволжский,Пермский край,Пермская ГРЭС,0.0021231,0.0021231,0.0021231,0.0021231,0.0021231,0.0021231,0.0021231,0.0021231
Центральный,Рязанская область,Рязанская ГРЭС,0.0026908,0.0026908,0.0026908,0.0026908,0.0026908,0.0026908,0.0026908,0.0026908
Северо-Западный,Ленинградская область,Киришская ГРЭС,0.0018557000000000005,0.0018557000000000005,0.0018557000000000005,0.0018557000000000005,0.0018557000000000005,0.0018557000000000005,0.0018557000000000005,0.0018557000000000005
Приволжский,Оренбургская область,Ириклинская ГРЭС,0.00231035,0.00231035,0.00231035,0.00231035,0.00231035,0.00231035,0.00231035,0.00231035
Северо-Кавказский,Ставропольский край,Ставропольская ГРЭС,0.0023289,0.0023289,0.0023289,0.0023289,0.0023289,0.0023289,0.0023289,0.0023289
Уральский,Челябинская область,Троицкая ГРЭС,0.0031549,0.0031549,0.0031549,0.0031549,0.0031549,0.0031549,0.0031549,0.0031549
Южный,Ростовская область,Новочеркасская ГРЭС,0.0025963,0.0025963,0.0025963,0.0025963,0.0025963,0.0025963,0.0025963,0.0025963
Центральный,Московская область,Каширская ГРЭС,0.0025011,0.0025011,0.0025011,0.0025011,0.0025011,0.0025011,0.0025011,0.0025011
Дальневосточный,Приморский край,Приморская ГРЭС,0.0027447,0.0027447,0.0027447,0.0027447,0.0027447,0.0027447,0.0027447,0.0027447
Сибирский,Красноярский край,Красноярская ГРЭС-2,0.002723,0.002723,0.002723,0.002723,0.002723,0.002723,0.002723,0.002723
