Федеральный округ,Субъект федерации,Название,2012,2013,2014,2015,2016,2017,2018,2019
Центральный,Костромская область,Костромская ГРЭС,1751.9464240506331,1850.0244367088608,2136.658679324895,2110.2438691983125,2298.8417658227836,2862.2999810126585,3060.9783818565406,3263.4339602169975
Уральский,Ханты-Мансийский автономный округ-Югра,Сургутская ГРЭС-1,1099.3712974683544,1183.377824894515,1306.6288248945145,1212.6678881856544,1348.948075949367,2554.2307468354443,2588.0306940928267,2719.521802893309
Приволжский,Пермский край,Пермская ГРЭС,1203.9420654008443,1393.83017721519,1471.4159071729962,1458.0012784810128,1629.5951835443038,2430.8321350210963,2593.228367088608,2817.6431808318266
Центральный,Рязанская область,Рязанская ГРЭС,1483.4526518987343,1550.8958291139238,1828.3676919831225,1778.8766286919831,1963.0085843881861,2518.201601265823,2705.2015210970467,2902.624896925858
Северо-Западный,Ленинградская область,Киришская ГРЭС,1110.0990780590714,1218.3667805907173,1559.4412299578055,1733.577668776371,1720.682691983123,3273.558443037973,3298.874364978903,3676.0770542495475
Приволжский,Оренбургская область,Ириклинская ГРЭС,1115.8239388185657,1292.159740506329,1366.521571729958,1345.4503164556963,1515.4441234177214,2313.816723628691,2472.349088607595,2695.1915162748646
Северо-Кавказский,Ставропольский край,Ставропольская ГРЭС,1841.4251033755277,1821.7593565400846,1904.079470464135,1920.2324578059072,2021.7240801687767,2555.401864978903,2705.844698312236,3065.2291012658225
Уральский,Челябинская область,Троицкая ГРЭС,548.0990569620253,572.6795717299581,677.126710970464,535.7245590717305,662.7917573839643,1851.0290000000011,1860.8850485232065,1982.0960813743218
Южный,Ростовская область,Новочеркасская ГРЭС,1661.5472004219412,1674.0650189873418,1911.1246350210963,2149.8525295358654,2478.8722679324906,3400.0248670886076,3019.4700126582293,3083.491473779385
Центральный,Московская область,Каширская ГРЭС,1542.062588607595,1615.2636645569619,1894.643248945148,1850.0917932489454,2035.2063628692001,2592.136487341772,2781.8125337552747,2980.139529837251
Дальневосточный,Приморский край,Приморская ГРЭС,,,,,,,,
Сибирский,Красноярский край,Красноярская ГРЭС-2,,,,,,,,
Северо-Западный,Санкт-Петербург,Красноярская ГРЭС-2,736.1720147679323,800.8551476793252,1128.9749894514766,1270.834694092827,1251.5904957805922,2792.810759493669,2801.7687447257385,3172.0549909584083
Дальневосточный,Республика Бурятия,Гусиноозерская ГРЭС,,,,,,,,
Южный,Краснодарский край,Краснодарская ТЭЦ,1839.6230358649796,1873.5138924050636,2116.748394514768,2370.963301687764,2702.9908101265823,3629.8003987341776,3256.784898734179,3324.1427902350815
Северо-Западный,Республика Коми,Печорская ГРЭС,1100.4608755274257,1211.3059071729958,1552.1976476793247,1725.9330485232067,1712.8664240506337,3265.49240506329,3290.6416561181436,3667.5300542495474
Северо-Западный,Вологодская область,Череповецкая ГРЭС,1068.2289767932489,1171.7904641350215,1511.4594198312236,1682.1119852320676,1668.3725928270044,3219.8431898734166,3243.357453586498,3619.7379529837253
Северо-Западный,Калининградская область,Калининградская ТЭЦ-2,1155.2143438818562,1267.0879324894515,1609.8248375527423,1787.6617067510545,1775.5079177215175,3329.732202531644,3356.926516877637,3734.79597830018
Северо-Западный,Санкт-Петербург,Северо-Западная ТЭЦ,1197.0167489451474,1315.415489451477,1659.5011793248943,1841.1402004219408,1829.7210717299586,3385.306088607593,3414.4243396624474,3793.2347251356236
Уральский,Свердловская область,Серовская ГРЭС,513.7754873417723,536.7158755274265,639.9552932489453,495.9528628691987,622.4325928270023,1809.6621012658243,1818.1786687763713,1938.707157323689
Уральский,Челябинская область,Южноуральская ГРЭС,875.1570443037974,936.4139261603377,1052.1128122362866,938.8400274261605,1071.4429409282684,2269.8320000000012,2293.9691118143455,2421.238777576853
Дальневосточный,Хабаровский край,Хабаровская ТЭЦ-3,,,,,,,,
Сибирский,Омская область,Омская ТЭЦ-5,719.6791333333337,674.7630489451481,777.3919493670887,988.047512236287,1102.2886578059083,1779.9313147679327,1796.9240101265837,1945.6851714285715
Дальневосточный,Забайкальский край,Харанорская ГРЭС,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Нерюнгринская ГРЭС,,,,,,,,
Дальневосточный,Сахалинская область,Южно-Сахалинская ТЭЦ-1,,,,,,,,
Уральский,Ямало-Ненецкий автономный округ,Уренгойская ГРЭС,1320.0750949367089,1428.9473945147681,1559.8481540084385,1484.6925843881859,1624.691308016878,2836.7474683544315,2880.187921940928,3015.6605244122966
Дальневосточный,Приморский край,Владивостокская ТЭЦ-2,,,,,,,,
Центральный,Тульская область,Черепетская ГРЭС,1375.1500696202534,1428.0410443037974,1701.5939704641353,1642.8402236286922,1824.8542805907177,2376.4014493670884,2558.7225337552745,2753.8974032549722
Северо-Западный,Псковская область,Псковская ГРЭС,832.4606476793251,908.8842869198318,1240.6104578059073,1390.8324156118147,1373.2466561181423,2917.4437215189864,2930.8088713080174,3302.7325858951176
Сибирский,Омская область,Омская ТЭЦ-4,454.10473333333357,379.55259831223657,473.0695189873418,660.9008995780589,770.6450324894529,1440.045623628692,1445.4492962025329,1589.2563714285711
Дальневосточный,Хабаровский край,Хабаровская ТЭЦ-1,,,,,,,,
Сибирский,Омская область,Омская ТЭЦ-3,739.8153333333335,697.1462932489453,800.466075949367,1012.8521983122362,1127.4343132911401,1805.701894514768,1823.5732848101277,1972.7100714285712
Дальневосточный,Приморский край,Артемовская ТЭЦ,,,,,,,,
Дальневосточный,Республика Саха (Якутия),Якутская ГРЭС,,,,,,,,
Дальневосточный,Хабаровский край,Комсомольская ТЭЦ-3,,,,,,,,
Южный,Краснодарский край,Адлерская ТЭС,2009.1089852320679,2062.5360443037976,2311.593837552742,2580.4139345991566,2915.3296075949365,3847.422424050633,3481.8269240506343,3552.3312712477396
Сибирский,Томская область,Томская ГРЭС-2,745.8023092827008,701.7583362869201,805.0533974683545,1017.6683755274262,1132.378553586499,1810.7127780590718,1828.997283544305,1978.4337764918625
Центральный,Ивановская область,Ивановские ПГУ,1881.8852088607598,1995.716411392405,2286.852628691983,2271.692755274262,2462.509297468354,3030.0361075949368,3234.4195970464143,3439.2814032549722
Дальневосточный,Хабаровский край,Амурская ТЭЦ-1,,,,,,,,
