,0.1,1,"Глубина переработки, %",Кратность запасов газа добыче,Кратность запасов нефти добыче,Цены на бензин 2013,Цены на бензин 2018,Акцизы на нефтепродукты (суб.бюджет) 2014,Акцизы на нефтепродукты (суб.бюджет) 2017,НДПИ (нефть) 2014,НДПИ (нефть) 2017,Задолженность по НДПИ 2014,Задолженность по НДПИ 2017,Задолженность по акцизу на нефтепродукты 2014,Задолженность по акцизу на нефтепродукты 2017,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2014,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2017,НДПИ (газ горючий природный) 2014,НДПИ (газ горючий природный) 2017,НДПИ (газовый конденсат ) 2014,НДПИ (газовый конденсат ) 2017,Крэк-спред 2013,Крэк-спред 2018,Спарк-спред 2012,Спарк-спред 2018,Цены на мазут 2012,Цены на мазут 2018
0,Республика Адыгея,Республика Адыгея,,64.1,,30.51659548611111,43.76953125,0.053000000000000005,-6.692,0.001,,1.3090000000000002,2.403,0.115,0.078,0.006999999999999999,,129.395,101.93799999999999,1.039,6.745,,,,,,
1,Алтайский край,Алтайский край,,,,28.60959375,40.21104861111112,,0.07400000000000001,,,4.481,7.231000000000001,0.023,,,0.742,,,,,,,,,,
2,Амурская область,Амурская область,,,,32.52663194444445,41.350983333333346,,,,,19.583,12.158,,,,0.001,,,,,,,2113.9066666666668,3834.848333333333,,
3,Архангельская область,Архангельская область,,,,29.87567129629629,41.79263541666667,,,,,1.226,3.572,,,0.008,0.003,,,,,,,,,,
4,Астраханская область,Астраханская область,81.0,486.74,72.19,30.246458333333326,42.46593749999999,9038.555,8092.885,23.721999999999998,17958.516,0.39799999999999996,93.675,,,6.032,10.273,7772.526999999999,15930.069,2782.887,23115.471,17357.124330364608,15436.01661086254,,,10047.040080863431,20188.726822469576
5,Республика Башкортостан,Республика Башкортостан,83.1,2187.5,30.69,30.19636458333333,41.476187499999995,31594.589,32842.303,65553.679,97327.13,18.258,19.632,27.85400000000001,0.322,22.22900000000001,6.2940000000000005,19.832,18.559,,,18772.665352104545,21421.538888541905,1980.8891666666668,3622.26,8230.190467635775,16810.767694293518
6,Белгородская область,Белгородская область,,,,28.93265277777778,39.65333333333333,,-1.605,,,1.9369999999999998,6.8329999999999975,0.003,0.002,,0.005,,,,,,,,,,
7,Брянская область,Брянская область,,,,29.16104513888888,41.880791666666674,0.001,-0.017,,,20.167,1.6469999999999998,,,0.001,,,,,,,,,,,
8,Республика Бурятия,Республика Бурятия,,,,31.232388888888888,40.81649652777778,0.005,,,,139.173,4.026,,,,0.184,,,,,,,2113.9066666666668,3834.848333333333,,
9,Республика Чечено-Ингушска,Чеченская Республика,,5000.0,170.94,29.099708333333336,40.106145833333336,,,2623.329,725.5189999999999,0.151,0.731,0.004,0.004,0.888,0.21600000000000005,0.8370000000000001,1.71,,,,,,,,
10,Челябинская область,Челябинская область,,,,28.56710520833333,41.03513541666667,,,,,27.04600000000001,30.573,,,0.184,0.03,,,,,,,1755.3475,3459.500833333333,,
11,Чукотский АОк,Чукотский автономный округ,,333.33,,46.41,50.54722222222222,,,,,0.043,0.795,,,0.14200000000000002,,7.8130000000000015,2.2880000000000003,,,,,2113.9066666666668,3834.848333333333,,
12,Чувашская Республика,Чувашская Республика,,,,29.144238095238098,40.83964616402117,,,,,1.226,2.12,,,,,,,,,,,,,,
13,Санкт-Петербург (горсовет),Санкт-Петербург,,,,30.012760664682542,40.179023809523805,-43.023,1.314,,,1.514,8.620000000000001,,,132.43800000000002,40.02,,,,,,,1910.1641666666665,4362.495833333333,,
14,Республика Дагестан,Республика Дагестан,,595.24,63.69,29.014968750000005,,1.344,19.122,702.4820000000003,871.4240000000003,11.265999999999998,37.334,0.6409999999999999,0.05,9.958,265.18100000000004,99.838,51.482,2.44,12.675999999999998,16380.791900452861,,,,7343.539681791556,8777.826364509936
15,Республика Алтай,Республика Алтай,,,,27.979875000000003,40.07765625,,,-0.001,,14.088,22.518,,,,0.21600000000000005,,,,,,,,,,
16,Респу́блика Ингуше́тия,Республика Ингушетия,,,196.08,28.964201388888892,39.876000000000005,,,173.07299999999995,287.694,463.78,3.1020000000000003,1.845,,2.9330000000000003,4.0760000000000005,,,,,,,,,,
17,Иркутская область,Иркутская область,76.47,11235.7,55.55,30.704241666666665,41.1762,13240.594,11627.856000000002,36773.314,107739.17599999999,45.89100000000001,34.766999999999996,8.54,575.6120000000002,10.244000000000002,89.73200000000001,36.70200000000001,3.048,-48.653999999999996,39.621,20926.44212771593,21765.334384495127,,,13440.434995063863,20949.548962928897
18,Ивановская область,Ивановская область,,,,28.246583333333334,40.733385416666664,3.3640000000000003,8.38,,,3.073,1.7469999999999999,1.858,,0.004,,,,,,,,2660.5925,4267.909166666667,,
19,Кабардино-Балкарская Респу,Кабардино-Балкарская Республика,,,,29.3656369047619,43.07248611111111,,,5.056,4.333,2.2880000000000003,3.196,5.662999999999999,,0.003,,,,,,,,2905.349166666667,4118.514166666666,,
20,Калининградская область,Калининградская область,,,84.21,30.716284722222227,43.30105555555556,0.001,0.003,1834.888,2154.0840000000007,37.509,13.865,27.465999999999998,,98.208,13.300999999999998,,,,,,,1910.1641666666665,4362.495833333333,,
21,Республика Калмыкия,Республика Калмыкия,,1136.36,125.0,30.325312499999995,43.48817708333333,,,497.56300000000016,811.22,127.89399999999999,18.439,0.006,,151.874,91.25,35.66,36.864,,,16656.855989227308,,,,7573.181754900911,
22,Калужская область,Калужская область,,,,28.890933531746033,39.5526755952381,40.705,41.528,,,9.538,24.17,,,0.036000000000000004,,,,,,,,,,,
23,Камчатская край,Камчатский край,,28.41,,37.91615277777779,,,,,,0.5690000000000001,0.985,,,0.011,0.01,192.041,58.578,6.138,9.346,,,2113.9066666666668,3834.848333333333,,
24,Карачаево-Черкессия Респуб,Карачаево-Черкесская Республика,,,,29.998277777777773,43.18034027777779,,,,,469.229,2.79,,,475.88599999999997,,,,,,,,,,,
25,Республика Карелия,Республика Карелия,,,,29.7593630952381,41.19102777777777,,,,,15.304,21.924,,,,,,,,,,,,,,
26,Кемеровская область,Кемеровская область,58.1,,,28.08080357142857,39.72817857142858,1852.098,87.25,,,1187.956,500.465,48.543,321.971,2.577,,,,,,17526.901820846382,18904.56951023061,,,9400.0,16274.226154156044
27,Хабаровский край,Хабаровский край,81.7,,,32.50313888888889,40.37961689814815,7648.590999999998,13998.042,,,51.20399999999999,9.451,,,1.163,,,,,,,,2113.9066666666663,3834.848333333333,,
28,Республика Хакасия,Республика Хакасия,,,,28.859858333333335,40.28942708333333,,,,,11.818,48.69,,,0.002,,,,,,,,,,,
29,Ханты-Мансийский АОк,Ханты-Мансийский автономный округ-Югра,88.0,635.51,51.43,30.677558333333337,42.15921388888889,5829.953,12339.688999999995,1404070.076,1731964.67,50.3,21.326999999999998,0.312,3.5290000000000004,448.413,489.78,540.433,568.1410000000002,3.608,14.974,,,1755.3475,3459.500833333333,,
30,Кировская область,Кировская область,,,3333.33,29.538611111111113,42.0753125,,,65.574,33.935,2.242,6.42,,,,0.369,,,,,,,,,,
31,Республика Коми,Республика Коми,74.6,100.35,64.71,30.354858333333326,41.53489583333333,5266.1669999999995,5506.188,63765.342000000004,84170.141,110.212,863.575,,,172.845,658.3939999999999,780.8639999999997,1024.353,83.725,598.693,19698.97573333552,20849.565578592123,1910.1641666666665,4362.495833333333,14164.429347672738,18645.509166917473
32,Костромская область,Костромская область,,,,28.502458333333337,40.98272916666667,,,,,1.545,1.293,,,,,,,,,,,2660.5925,4267.909166666667,,
33,Краснодарский край,Краснодарский край,57.55,31.97,121.68,30.59557986111111,43.62026041666667,-346.093,41.48,4078.551,5552.884,17.119,17.555,12.386,,2.7630000000000003,8.165000000000001,1678.947,1706.664,1034.418,178.739,17597.849989421087,14334.650664662251,2845.9858333333336,4593.0250000000015,11289.652692251519,13770.09834868041
34,Красноярский край,Красноярский край,70.4,536.35,81.97,29.06708333333333,40.68687499999999,6919.545,13095.319,106599.234,156857.475,21.246,15.682,0.102,38.82100000000001,6.016,19.743,1053.508,251.7,65.02600000000001,67.087,19123.22129940913,,1620.4083333333335,2988.9950000000013,11872.112458530282,
35,Курганская область,Курганская область,,,,28.838779761904764,40.79209722222222,10.466,,,,1.652,2.955,,,,0.07300000000000001,,,,,18510.76992322288,18813.782547727395,,,10151.454503248628,9570.585951688834
36,Курская область,Курская область,,,,28.29451666666667,41.77784375000002,,,,,1.6740000000000002,13.878,,20.195,0.003,0.075,,,,,,,,,,
