,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
0,Саяно-Шушенская ГЭС, Гидроэлектростанция ,6400.0, 20 375 млн. кВт*ч, Саяногорск, Широта: 52.825842 Долгота: 91.370626,,,,,,,5503.008,
1,Красноярская ГЭС, Гидроэлектростанция ,6000.0, 18 400 млн. кВт*ч, Красноярск, Широта: 55.936667 Долгота: 92.295556,,,,,,,5159.07,
2,Сургутская ГРЭС-2, Тепловая электростанция ,5597.0, 32 836 млн. кВт*ч, Сургут, Широта: 61.279444 Долгота: 73.512500,840.0, 896 тыс. Гкал, 67 %," 628406, Россия, Тюменская область, Ханты-Мансийский автономный округ – Югра, город Сургут, ул. Энергостроителей, д.23, сооружение 34;",,,4812.552465,0.15008040021440058
3,Братская ГЭС, Гидроэлектростанция ,4500.0, 30 000 млн. кВт*ч, Братск, Широта: 56.286111 Долгота: 101.784167,,,,,,,3869.3025,
4,Ленинградская АЭС-2, Атомная электростанция ,4340.0,, Санкт-Петербург, Широта: 59.830437 Долгота: 29.056749,0.0,,,,,,3731.7273,0.0
5,Ленинградская АЭС, Атомная электростанция ,4000.0,, Санкт-Петербург, Широта: 59.852778 Долгота: 29.048611,0.0,,,,,,3439.38,0.0
6,Балаковская АЭС, Атомная электростанция ,4000.0,, Балаково, Широта: 52.092778 Долгота: 47.953889,0.0,,,,,,3439.38,0.0
7,Курская АЭС, Атомная электростанция ,4000.0,, Курчатов, Широта: 51.675000 Долгота: 35.605556,0.0,,,,,,3439.38,0.0
8,Калининская АЭС, Атомная электростанция ,4000.0,, Удомля, Широта: 57.905000 Долгота: 35.061389,0.0,,,,,,3439.38,0.0
9,Усть-Илимская ГЭС, Гидроэлектростанция ,3840.0, 21 700 млн. кВт*ч, Усть-Илимск, Широта: 57.968333 Долгота: 102.695833,,,,,,,3301.8048,
10,Рефтинская ГРЭС, Тепловая электростанция ,3800.0, 19 312 млн. кВт*ч, Асбест, Широта: 57.106667 Долгота: 61.711667,350.0, 457 тыс. Гкал,," 24065, Свердловская обл.,г. Асбест, п. Рефтинский, Рефтинская ГРЭС",,,3267.411,0.09210526315789473
11,Костромская ГРЭС, Тепловая электростанция ,3600.0, 14 086.68 млн. кВт*ч, Волгореченск, Широта: 57.459444 Долгота: 41.175000,450.0, 176.80 тыс. Гкал, 49.40 %," 156901, Костромская обл., г.Волгореченск. Костромская ГРЭС", 305.20 г/кВт•ч,,3095.442,0.125
