,Название,"Расход условного топлива на производство э/э, Гкал/Mвт•ч",Субъект федерации,Федеральный округ,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,Округ,2012,2013,2014,2015,2016,2017,2018,2019,Субъект
0,Костромская ГРЭС,0.0021364,Костромская область,Центральный,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428,Центральный,3360.0,3748.0,3864.0,4154.0,4211.166666666671,4316.0,4463.0,4525.0,Костромская область
1,Сургутская ГРЭС-1,0.0022729,Ханты-Мансийский автономный округ-Югра,Уральский,1755.3475,1915.309166666667,2061.2891666666665,2023.719166666667,2171.22,3396.9300000000007,3459.500833333333,3603.075714285714,Уральский,2280.0,2544.0,2623.0,2819.0,2858.0,2929.0,3029.0,3071.0,Ханты-Мансийский автономный округ-Югра
2,Пермская ГРЭС,0.0021231,Пермский край,Приволжский,1980.8891666666668,2258.12,2362.311666666667,2415.815,2600.5775,3426.0016666666656,3622.26,3861.187142857143,Приволжский,2891.0,3216.0,3315.0,3564.0,3613.0,3703.0,3829.0,3883.0,Пермский край
3,Рязанская ГРЭС,0.0026908,Рязанская область,Центральный,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428,Центральный,3456.0,3854.0,3973.0,4271.0,4329.5,4437.0,4588.0,4652.0,Рязанская область
4,Киришская ГРЭС,0.0018557000000000005,Ленинградская область,Северо-Западный,1910.1641666666665,2111.686666666667,2480.4791666666665,2723.6758333333332,2724.3658333333333,4302.1799999999985,4362.495833333333,4754.4971428571425,Северо-Западный,3406.0,3803.0,3921.0,4215.0,4272.833333333329,4379.0,4528.0,4591.0,Ленинградская область
5,Ириклинская ГРЭС,0.00231035,Оренбургская область,Приволжский,1980.8891666666668,2258.12,2362.311666666667,2415.815,2600.5775,3426.0016666666656,3622.26,3861.187142857143,Приволжский,2958.0,3303.0,3405.0,3660.0,3710.5,3803.0,3932.0,3987.0,Оренбургская область
6,Ставропольская ГРЭС,0.0023289,Ставропольский край,Северо-Кавказский,2905.349166666667,3008.3191666666667,3127.1941666666667,3235.0291666666667,3354.6508333333336,3921.493333333334,4118.514166666666,4497.65,Северо-Кавказский,3609.0,4025.0,4149.0,4460.0,4521.5,4634.0,4792.0,4859.0,Ставропольский край
7,Троицкая ГРЭС,0.0031549,Челябинская область,Уральский,1755.3475,1915.309166666667,2061.2891666666665,2023.719166666667,2171.22,3396.9300000000007,3459.500833333333,3603.075714285714,Уральский,3023.0,3362.0,3466.0,3726.0,3777.1666666666706,3871.0,4003.0,4059.0,Челябинская область
8,Новочеркасская ГРЭС,0.0025963,Ростовская область,Южный,2845.9858333333336,2995.8775,3273.689166666666,3614.625833333334,3963.8025,4921.9825,4593.0250000000015,4679.065714285714,Южный,3604.0,4022.0,4146.0,4457.0,4518.333333333329,4631.0,4788.0,4855.0,Ростовская область
9,Каширская ГРЭС,0.0025011,Московская область,Центральный,2660.5925,2863.5975,3181.601666666667,3233.6116666666667,3437.669166666667,4029.4775,4267.909166666667,4487.131428571428,Центральный,3533.0,3943.0,4065.0,4370.0,4429.833333333329,4540.0,4694.0,4760.0,Московская область
