,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,"Удельный расход условного топлива на э/э (УРУТ э.э.), г/кВт•ч:",Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч","Расход условного топлива на производство э/э, Гкал/Mвт•ч"
11,Костромская ГРЭС, Тепловая электростанция ,3600.0, 14 086.68 млн. кВт*ч, Волгореченск, Широта: 57.459444 Долгота: 41.175000,450.0, 176.80 тыс. Гкал, 49.40 %," 156901, Костромская обл., г.Волгореченск. Костромская ГРЭС",305.2,,3095.442,0.125,0.0021364
12,Сургутская ГРЭС-1, Тепловая электростанция ,3268.0, 20 829.70 млн. кВт*ч, Сургут, Широта: 61.279444 Долгота: 73.488889,903.0, 1 556.80 тыс. Гкал, 73 %," 628406, п.Кедровый, г.Сургут, Ханты-Мансийский автономный округ – Югра, Тюменская область, Российская Федерация",324.7, 139.40 кг/Гкал,2809.97346,0.27631578947368424,0.0022729
13,Пермская ГРЭС, Тепловая электростанция ,3363.0, 13 538.08 млн. кВт*ч, Добрянка, Широта: 58.495937 Долгота: 56.347075,620.0, 279.04 тыс. Гкал, 75.77 %," 618740, Пермский край, г. Добрянка, Пермская ГРЭС",303.3,,2891.658735,0.18435920309247691,0.0021230999999999997
14,Рязанская ГРЭС, Тепловая электростанция ,3070.0, 4 369.90 млн. кВт*ч, Новомичуринск, Широта: 54.035556 Долгота: 39.779444,180.0, 212.60 тыс. Гкал, 16 %," Россия, 391160, Рязанская область, г. Новомичуринск, ул. Промышленная, 1.",384.4, 181.40 кг/Гкал,2639.72415,0.058631921824104226,0.0026908
18,Киришская ГРЭС, Тепловая электростанция ,2595.0, 4 406.70 млн. кВт*ч, Кириши, Широта: 59.489167 Долгота: 32.050278,1234.0, 2 797 тыс. Гкал, 19 %," 187110, Российская Федерация, Ленинградская обл., г. Кириши, шоссе Энтузиастов",265.1, 142.80 кг/Гкал,2231.297775,0.4755298651252409,0.0018557000000000003
21,Ириклинская ГРЭС, Тепловая электростанция ,2444.0, 9 398.31 млн. кВт*ч, Энергетик, Широта: 51.754001 Долгота: 58.803291,121.0, 111.31 тыс. Гкал, 53.61 %," 462803, Оренбургская область, Новоорский район, п. Энергетик",330.05,,2101.4611800000002,0.04950900163666122,0.00231035
22,Ставропольская ГРЭС, Тепловая электростанция ,2415.0, 8 707.90 млн. кВт*ч, Ставрополь, Широта: 45.312222 Долгота: 41.511111,220.0, 73.40 тыс. Гкал, 41 %," 356128, Российская Федерация, Ставропольский край, Изобильненский район, посёлок Солнечнодольск, ул. Техническая, 14",332.7, 172.20 кг/Гкал,2076.525675,0.09109730848861283,0.0023289
26,Троицкая ГРЭС, Тепловая электростанция ,2234.0, 2 519.50 млн. кВт*ч, Троицк-5, Широта: 54.036944 Долгота: 61.647222,315.0, 429.10 тыс. Гкал, 22 %," 457105, Российская Федерация, Челябинская область, г. Троицк-5",450.7, 168.10 кг/Гкал,1920.89373,0.14100268576544314,0.0031549
27,Новочеркасская ГРЭС, Тепловая электростанция ,2214.0, 9 155.90 млн. кВт*ч, Новочеркасск, Широта: 47.400000 Долгота: 40.233333,60.0, 80 тыс. Гкал, 55 %," 346448, Российская Федерация, Ростовская область, г. Новочеркасск, ш. Багаевское, д. №10",370.9, 184.90 кг/Гкал,1903.69683,0.027100271002710032,0.0025963
32,Каширская ГРЭС, Тепловая электростанция ,1910.0, 3 720.30 млн. кВт*ч, Кашира, Широта: 54.858056 Долгота: 38.259722,458.0, 225.31 тыс. Гкал, 27.80 %," 142900, РФ, Московская область, г. Кашира-2",357.3,,1642.30395,0.2397905759162304,0.0025011
42,Приморская ГРЭС, Тепловая электростанция ,1467.0, 4 081.80 млн. кВт*ч, Лучегорск, Широта: 46.462500 Долгота: 134.291111,237.0, 274.40 тыс. Гкал, 36.63 %,,392.1,,1261.392615,0.16155419222903886,0.0027447
50,Красноярская ГРЭС-2, Тепловая электростанция ,1250.0, 5 929.90 млн. кВт*ч, Зеленогорск, Широта: 56.150278 Долгота: 94.480556,1176.0, 962.90 тыс. Гкал, 54 %," 663690, Российская Федерация , Красноярский край, г.Зеленогорск , ул. Первая Промышленная 2",389.0, 173.60 кг/Гкал,1074.80625,0.9408,0.002723
60,Гусиноозерская ГРЭС, Тепловая электростанция ,1160.0, 4 964.22 млн. кВт*ч, Гусиноозёрск, Широта: 51.300833 Долгота: 106.483333,224.5, 229.12 тыс. Гкал, 47.70 %," 671160, Республика Бурятия, г. Гусиноозерск, Филиал ОАО «ОГК-3» ""ГО ГРЭС""",366.2,,997.4202,0.1935344827586207,0.0025634
62,Краснодарская ТЭЦ, Теплоэлектроцентраль ,1120.0, 6 813 млн. кВт*ч, Краснодар, Широта: 45.017778 Долгота: 39.060833,679.0, 1 119 тыс. Гкал,,,314.7, 142.60 кг/Гкал,963.0264,0.60625,0.0022029
65,Печорская ГРЭС, Тепловая электростанция ,1060.0, 3 660.84 млн. кВт*ч, Печора, Широта: 65.134444 Долгота: 57.315639,327.0, 260.80 тыс. Гкал, 39.14 %," 169600, Республика Коми, г.Печора. Печорская ГРЭС",328.0,,911.4357,0.30849056603773584,0.0022960000000000003
