,Название,Город:,"Расход условного топлива на производство э/э, Гкал/Mвт•ч",Субъект федерации,Федеральный округ,Код субъекта РФ
0,Костромская ГРЭС,Волгореченск,0.0021364,Костромская область,Центральный,44.0
1,Сургутская ГРЭС-1,Сургут,0.0022729,Ханты-Мансийский автономный округ-Югра,Уральский,86.0
2,Пермская ГРЭС,Добрянка,0.0021230999999999997,Пермский край,Приволжский,59.0
3,Рязанская ГРЭС,Новомичуринск,0.0026908,Рязанская область,Центральный,62.0
4,Киришская ГРЭС,Кириши,0.0018557000000000003,Ленинградская область,Северо-Западный,47.0
5,Ириклинская ГРЭС,Энергетик,0.00231035,Оренбургская область,Приволжский,56
6,Ставропольская ГРЭС,Ставрополь,0.0023289,Ставропольский край,Северо-Кавказский,26.0
7,Троицкая ГРЭС,Троицк-5,0.0031549,Челябинская область,Уральский,74
8,Новочеркасская ГРЭС,Новочеркасск,0.0025963,Ростовская область,Южный,61.0
9,Каширская ГРЭС,Кашира,0.0025011,Московская область,Центральный,50.0
10,Приморская ГРЭС,Лучегорск,0.0027447,Приморский край,Дальневосточный,25
11,Красноярская ГРЭС-2,Зеленогорск,0.002723,Красноярский край,Сибирский,24.0
12,Красноярская ГРЭС-2,Зеленогорск,0.002723,Санкт-Петербург,Северо-Западный,78.0
13,Гусиноозерская ГРЭС,Гусиноозёрск,0.0025634,Республика Бурятия,Дальневосточный,3
14,Краснодарская ТЭЦ,Краснодар,0.0022029,Краснодарский край,Южный,23.0
15,Печорская ГРЭС,Печора,0.0022960000000000003,Республика Коми,Северо-Западный,11.0
16,Череповецкая ГРЭС,Череповец,0.0020916,Вологодская область,Северо-Западный,35.0
17,Калининградская ТЭЦ-2,Калининград,0.0017444000000000003,Калининградская область,Северо-Западный,39.0
18,Северо-Западная ТЭЦ,Санкт-Петербург,0.0016541000000000001,Санкт-Петербург,Северо-Западный,78.0
19,Серовская ГРЭС,Серов,0.0033103,Свердловская область,Уральский,66.0
20,Южноуральская ГРЭС,Южноуральск,0.0023002,Челябинская область,Уральский,74.0
21,Хабаровская ТЭЦ-3,Хабаровск,0.0020936999999999996,Хабаровский край,Дальневосточный,27.0
22,Омская ТЭЦ-5,Омск,0.00237034,Омская область,Сибирский,55.0
23,Харанорская ГРЭС,Чита,0.0024087,Забайкальский край,Дальневосточный,75.0
24,Нерюнгринская ГРЭС,Нерюнгри,0.0023982,Республика Саха (Якутия),Дальневосточный,14.0
25,Южно-Сахалинская ТЭЦ-1,Южно-Сахалинск,0.00242655,Сахалинская область,Дальневосточный,65.0
26,Уренгойская ГРЭС,Новый Уренгой,0.001778,Ямало-Ненецкий автономный округ,Уральский,89.0
27,Владивостокская ТЭЦ-2,Владивосток,0.0029463000000000002,Приморский край,Дальневосточный,25.0
28,Черепетская ГРЭС,Суворов,0.0028784,Тульская область,Центральный,71.0
29,Псковская ГРЭС,Псков,0.0024401999999999996,Псковская область,Северо-Западный,60.0
30,Омская ТЭЦ-4,Омск,0.00306922,Омская область,Сибирский,55.0
31,Хабаровская ТЭЦ-1,Хабаровск,0.0025312,Хабаровский край,Дальневосточный,27.0
32,Омская ТЭЦ-3,Омск,0.00231735,Омская область,Сибирский,55.0
33,Артемовская ТЭЦ,Артём,0.0031016999999999998,Приморский край,Дальневосточный,25
34,Якутская ГРЭС,Якутск,0.00290024,Республика Саха (Якутия),Дальневосточный,14.0
35,Комсомольская ТЭЦ-3,Комсомольск-на-Амуре,0.0021371,Хабаровский край,Дальневосточный,27.0
36,Адлерская ТЭС,Сочи,0.0018319000000000002,Краснодарский край,Южный,23.0
37,Томская ГРЭС-2,Томск,0.00227507,Томская область,Сибирский,70.0
38,Ивановские ПГУ,Комсомольск,0.0018298,Ивановская область,Центральный,37.0
39,Амурская ТЭЦ-1,Амурск,0.0028455,Хабаровский край,Дальневосточный,27.0
40,Благовещенская ТЭЦ,Благовещенск,0.0023225999999999998,Республика Башкортостан,Приволжский,2.0
41,Благовещенская ТЭЦ,Благовещенск,0.0023225999999999998,Амурская область,Дальневосточный,28.0
42,Комсомольская ТЭЦ-2,Комсомольск-на-Амуре,0.0025438,Хабаровский край,Дальневосточный,27.0
43,Камчатская ТЭЦ-1,Петропавловск-Камчатский,0.00274638,Камчатский край,Дальневосточный,41.0
44,Аркагалинская ГРЭС,Мяунджа,0.00796698,Магаданская область,Дальневосточный,49
45,Партизанская ГРЭС,Партизанск,0.0032536,Приморский край,Дальневосточный,25.0
46,Джубгинская ТЭС,Дефановка,0.002072,Краснодарский край,Южный,23
47,Электростанции Сахаэнерго,Якутск,0.00283465,Республика Саха (Якутия),Дальневосточный,14.0
48,Камчатская ТЭЦ-2,Петропавловск-Камчатский,0.00219793,Камчатский край,Дальневосточный,41.0
49,Сочинская ТЭС,Сочи,0.0018640999999999998,Краснодарский край,Южный,23.0
50,Томская ТЭЦ-3,Томск,0.00187873,Томская область,Сибирский,70.0
51,Николаевская ТЭЦ,Николаевск-на-Амуре,0.0035938000000000003,Хабаровский край,Дальневосточный,27.0
52,Райчихинская ГРЭС,Прогресс,0.0038031,Амурская область,Дальневосточный,28
53,Магаданская ТЭЦ,Магадан,0.00326802,Магаданская область,Дальневосточный,49.0
54,Центральные ЭС [Якутскэнерго],Якутск,0.00342552,Республика Саха (Якутия),Дальневосточный,14.0
55,Анадырская ТЭЦ,Анадырь,0.0032998000000000003,Чукотский автономный округ,Дальневосточный,87.0
56,Сахалинская ГРЭС,Лермонтовка,0.00424452,Сахалинская область,Дальневосточный,65
57,Майская ГРЭС,Майский,0.004732699999999999,Кабардино-Балкарская Республика,Северо-Кавказский,7.0
58,Западные ЭС [Якутскэнерго],Якутск,0.00434413,Республика Саха (Якутия),Дальневосточный,14.0
59,ДЭС ЮЭС,Петропавловск-Камчатский,0.00263263,Камчатский край,Дальневосточный,41.0
60,Чульманская ТЭЦ,Чульман,0.0048111000000000004,Республика Саха (Якутия),Дальневосточный,14
61,ГТЭС Владивостокской ТЭЦ-1,Владивосток,0.0026495,Приморский край,Дальневосточный,25.0
62,Чаунская ТЭЦ,Певек,0.00429821,Чукотский автономный округ,Дальневосточный,87.0
63,Эгвекинотская ГРЭС,Эгвекинот,0.00427455,Чукотский автономный округ,Дальневосточный,87
64,Томская ТЭЦ-1,Томск,0.00173173,Томская область,Сибирский,70.0
65,Якутская ТЭЦ,Якутск,0.00330225,Республика Саха (Якутия),Дальневосточный,14.0
66,Центральные ЭС Камчатскэнерго,Петропавловск-Камчатский,0.0027013000000000002,Камчатский край,Дальневосточный,41.0
