,Рязанская область,Ярославская область,Республика Коми,Ленинградская область,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Республика Башкортостан,Республика Марий Эл,Республика Татарстан (Татарстан),Пермский край,Нижегородская область,Оренбургская область,Саратовская область,Курганская область,Тюменская область,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Сахалинская область,Приморский край,Тверская область
2012-01-01,141.85,108.05,85.8,100,101.36,100,99.36,89.72,86.66,121.33,100,96.62,94,93.09,117.92,118.63,94.09,117.07,89.69,100,97.35,98.94,,84,101.01,90.58,98.9,100.0,
2012-02-01,82.72,101.48,130.41,100,108.04,109.53,107.05,126.49,123.96,98.51,100,108.95,103.93,114.57,94.4,95.04,109.69,97.61,100.42,98.48,102.8,108.6,,107.13,103.04,100,99.58,100.0,
2012-03-01,101.03,101,117.34,100,102.48,103.76,100,103.8,106.99,84.49,100,106,100.6,90.69,100.85,100.87,106.68,103.32,109.54,109.38,101.8,95.13,,109.47,100,102.68,113.96,100.0,
2012-04-01,94.33,100.98,86.28,100,100,102.32,100,83.97,95.33,101.71,100,98.25,100.11,93.9,97.48,95.69,98.49,98.99,100,100.56,97.93,104.49,,90.97,100.97,100.87,104.17,100.0,
2012-05-01,87.64,101.95,101.35,100,100,90.42,104.19,93.87,104.82,112.14,100,99.53,97.91,87.57,98.28,100,98.16,102.52,95.45,84.67,104.28,98.58,,96.24,102.92,98.27,102.84,100.0,
2012-06-01,88.75,85.72,88.12,100,82.11,93.89,87.93,97.54,96.63,92.3,100,90.91,97.86,83.92,100,98.2,101.29,82.46,100,100.08,98.31,100.93,,100,100,98.24,97.31,100.0,
2012-07-01,117.73,107.21,87.89,100,100,93.92,90.2,88.83,87.67,99.58,100,99.67,98.8,146.78,100,100,96.92,115.29,92.86,100.59,100.06,102.11,,100,99.52,98.22,103.85,100.0,
2012-08-01,116.79,127.47,118.65,100,109.03,117.8,100,118.64,113.58,100,100,110.84,90.44,117.7,101.9,112.84,116.13,110.85,102.56,107.04,88.07,97.14,,104.35,106.16,101.81,104.77,109.37,
2012-09-01,106.54,97.57,117.81,101.84,111.05,112.87,136.96,122.36,90.48,106.66,100,115.06,100,87.13,108.03,100,106.42,106.99,100,90.57,117.91,102.21,,104.16,108.04,98.22,109.97,100.0,
2012-10-01,80.77,97.57,88.86,100,99.94,94.85,93.12,92.58,109.06,121.47,100,90.54,97.56,80.29,92.03,91.87,86.42,91.27,110,99.33,104.76,109.42,,98.4,101.65,100,100.42,100.0,
2012-11-01,90.77,84.86,94.67,100,96.57,84.93,92.05,88.56,92.69,78.9,100,95.9,114.3,97.72,88.31,88.5,92.16,86.96,100,113.08,102.67,99.34,,97.55,95.93,100,100.7,100.0,
