"","V1","V2","V3","V4"
"1","Область, край,","Автомобильный бензин Дизтопливо","","Мазут"
"2","республика","Нормаль-80 Регуляр-92 Премиум-95 ДТЗ","ДТЛ","М-100"
"3","","СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ","",""
"4","Архангельская область","30800 - 31000 32000 - 32200 33900 - 34100 35900 - 36100","","10300 - 10500"
"5","","+300 +1100 -200","",""
"6","Вологодская область","30000 - 30200 31200 - 31400 33300 - 33500 35600 - 35800","","9900 - 10100"
"7","","+200 +1300","",""
"8","Ленинградская область","30700 - 30900 31900 - 32100 33800 - 34000 34400 - 34600","31300 - 31500","10500 - 10700"
"9","","+1100 +1300 -600","",""
"10","Мурманская область","33000 - 33200 34700 - 34900 36800 - 37000","","11400 - 11600"
"11","","+700 +1100","",""
"12","Республика Карелия","32000 - 32200 34100 - 34300 35800 - 36000","","10700 - 10900"
"13","","+500 +1500","",""
"14","Республика Коми","30800 - 31000 31800 - 32000 33400 - 33600 35900 - 36100","","12100 - 12300"
"15","","+400 +100 -100","",""
"16","","ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ","",""
"17","Белгородская область","31800 - 32000 33400 - 33600 34900 - 35100","30700 - 30900","9900 - 10100"
"18","","+600 +1200","",""
"19","Брянская область","31800 - 32000 33500 - 33700 34800 - 35000","30700 - 30900","9800 - 10000"
"20","","+700 +1400 -200","",""
"21","Владимирская область","29800 - 30000 31000 - 31200 33000 - 33200 35000 - 35200","","10000 - 10200"
"22","","+300 +1100","",""
"23","Воронежская область","31500 - 31700 33200 - 33400 34600 - 34800","30300 - 30500","9400 - 9600"
"24","","+300 +1400","",""
"25","Костромская область","29800 - 30000 31000 - 31200 33100 - 33300 34800 - 35000","","9800 - 10000"
"26","","+600 +1500 -200","",""
"27","Курская область","31800 - 32000 33500 - 33700 34500 - 34700","30600 - 30800","9900 - 10100"
"28","","+700 +1500","",""
"29","Липецкая область","31400 - 31600 33100 - 33300 34400 - 34600","30200 - 30400","9400 - 9600"
"30","","+200 +1200 -800","",""
"31","Московская область","29700 - 29900 31300 - 31500 33200 - 33400 34500 - 34700","30000 - 30200","9600 - 9800"
"32","","+500 +1300","",""
"33","Орловская область","31600 - 31800 33200 - 33400 34600 - 34800","30500 - 30700","9400 - 9600"
"34","","+200 +1000 -400","",""
"35","Смоленская область","31800 - 32000 33500 - 33700 35000 - 35200","30900 - 31100","9800 - 10000"
"36","","+300 +1200 -200","",""
"37","Тамбовская область","31500 - 31700 32900 - 33100 34300 - 34500","30000 - 30200","9400 - 9600"
"38","","+600 +1400 -500","",""
"39","Тверская область","30300 - 30500 31600 - 31800 33500 - 33700 34800 - 35000","30700 - 30900","9800 - 10000"
"40","","+600 +1300 -300","",""
"41","Тульская область","31400 - 31600 33300 - 33500 34100 - 34300","30400 - 30600","9400 - 9600"
"42","","+300 +1300 -500","",""
"43","","ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ","",""
"44","Нижегородская область","31400 - 31600 32900 - 33100 34600 - 34800","","10000 - 10200"
"45","","+900 +900","",""
"46","Оренбургская область","28700 - 28900 30800 - 31000 32200 - 32400 33900 - 34100","","8800 - 9000"
"47","","+600 +1000 -200","","-300"
"48","Пензенская область","31200 - 31400 32500 - 32700 34600 - 34800","","8500 - 8700"
"49","","+400 +700","",""
