,Unnamed: 0,V1,V2,V3,V4
0,1,"Область, край,",Автомобильный бензин Дизтопливо,,Мазут
1,2,республика,Нормаль-80 Регуляр-92 Премиум-95 ДТЗ,ДТЛ,М-100
2,3,,СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
3,4,Архангельская область,30800 - 31000 32000 - 32200 33900 - 34100 35900 - 36100,,10300 - 10500
4,5,,+300 +1100 -200,,
5,6,Вологодская область,30000 - 30200 31200 - 31400 33300 - 33500 35600 - 35800,,9900 - 10100
6,7,,+200 +1300,,
7,8,Ленинградская область,30700 - 30900 31900 - 32100 33800 - 34000 34400 - 34600,31300 - 31500,10500 - 10700
8,9,,+1100 +1300 -600,,
9,10,Мурманская область,33000 - 33200 34700 - 34900 36800 - 37000,,11400 - 11600
10,11,,+700 +1100,,
11,12,Республика Карелия,32000 - 32200 34100 - 34300 35800 - 36000,,10700 - 10900
12,13,,+500 +1500,,
13,14,Республика Коми,30800 - 31000 31800 - 32000 33400 - 33600 35900 - 36100,,12100 - 12300
14,15,,+400 +100 -100,,
15,16,,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
16,17,Белгородская область,31800 - 32000 33400 - 33600 34900 - 35100,30700 - 30900,9900 - 10100
17,18,,+600 +1200,,
18,19,Брянская область,31800 - 32000 33500 - 33700 34800 - 35000,30700 - 30900,9800 - 10000
19,20,,+700 +1400 -200,,
20,21,Владимирская область,29800 - 30000 31000 - 31200 33000 - 33200 35000 - 35200,,10000 - 10200
21,22,,+300 +1100,,
22,23,Воронежская область,31500 - 31700 33200 - 33400 34600 - 34800,30300 - 30500,9400 - 9600
23,24,,+300 +1400,,
24,25,Костромская область,29800 - 30000 31000 - 31200 33100 - 33300 34800 - 35000,,9800 - 10000
25,26,,+600 +1500 -200,,
26,27,Курская область,31800 - 32000 33500 - 33700 34500 - 34700,30600 - 30800,9900 - 10100
27,28,,+700 +1500,,
28,29,Липецкая область,31400 - 31600 33100 - 33300 34400 - 34600,30200 - 30400,9400 - 9600
29,30,,+200 +1200 -800,,
30,31,Московская область,29700 - 29900 31300 - 31500 33200 - 33400 34500 - 34700,30000 - 30200,9600 - 9800
31,32,,+500 +1300,,
32,33,Орловская область,31600 - 31800 33200 - 33400 34600 - 34800,30500 - 30700,9400 - 9600
33,34,,+200 +1000 -400,,
34,35,Смоленская область,31800 - 32000 33500 - 33700 35000 - 35200,30900 - 31100,9800 - 10000
35,36,,+300 +1200 -200,,
36,37,Тамбовская область,31500 - 31700 32900 - 33100 34300 - 34500,30000 - 30200,9400 - 9600
37,38,,+600 +1400 -500,,
38,39,Тверская область,30300 - 30500 31600 - 31800 33500 - 33700 34800 - 35000,30700 - 30900,9800 - 10000
39,40,,+600 +1300 -300,,
40,41,Тульская область,31400 - 31600 33300 - 33500 34100 - 34300,30400 - 30600,9400 - 9600
41,42,,+300 +1300 -500,,
42,43,,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,,
43,44,Нижегородская область,31400 - 31600 32900 - 33100 34600 - 34800,,10000 - 10200
44,45,,+900 +900,,
45,46,Оренбургская область,28700 - 28900 30800 - 31000 32200 - 32400 33900 - 34100,,8800 - 9000
46,47,,+600 +1000 -200,,-300
47,48,Пензенская область,31200 - 31400 32500 - 32700 34600 - 34800,,8500 - 8700
48,49,,+400 +700,,
