Регион,"Глубина переработки, %","Выход светлых нефтепродуктов, %",Индекс Нельсона,ИК
Астраханская область,81.0,59.43444444444444,4.536333333333333,66.98670460678015
Волгоградская область,92.3,71.6,6.9,35.791111111111114
Иркутская область,76.47,63.3,4.55,27.5
Кемеровская область,58.1,59.43444444444444,1.0,150.82500000000002
Краснодарский край,57.550000000000004,57.20083333333333,1.2525,145.83983455743066
Красноярский край,70.4,56.0,3.6,125.35555555555555
Ленинградская область,90.3,56.66722222222222,4.536333333333333,116.47797163599783
Московская область,80.3,55.1,7.27,119.03009605122735
Нижегородская область,76.6,63.7,7.4,111.42670967741937
Омская область,90.6,70.92,8.5,38.01243902439025
Оренбургская область,72.2,59.43444444444444,4.8,103.79746835443039
Пермский край,96.4,68.0,9.4,53.00983870967742
Республика Башкортостан,83.1,62.71722222222222,7.8149999999999995,69.60542450142451
Республика Коми,74.6,52.5,3.8,173.14043478260868
Республика Марий Эл,84.4,59.43444444444444,1.7,58.85533333333333
Республика Татарстан,73.0,59.43444444444444,6.2,97.76064999026127
Ростовская область,97.8,59.43444444444444,1.2,4.746875
Рязанская область,70.7,57.8,5.27,124.78270676691731
Самарская область,71.83333333333333,56.800000000000004,4.989999999999999,119.99488601305927
Саратовская область,79.4,50.8,4.0,107.59827586206897
Тюменская область,50.1,59.43444444444444,2.3,177.68185185185192
Ханты-Мансийский автономный округ-Югра,88.0,59.43444444444444,4.536333333333333,10.921981443235413
Хабаровский край,81.7,61.71722222222222,3.4450000000000003,90.70595238095238
Ямало-Ненецкий автономный округ,100.0,59.43444444444444,4.536333333333333,9.641871656284712
Ярославская область,64.05,57.36722222222222,4.75,126.87252531358621
