,0.1,1,"Глубина переработки, %","Выход светлых нефтепродуктов, %",Индекс Нельсона,ИК,Кратность запасов газа добыче,Кратность запасов нефти добыче,Цены на бензин 2013,Цены на бензин 2018,Акцизы на нефтепродукты (суб.бюджет) 2014,Акцизы на нефтепродукты (суб.бюджет) 2017,НДПИ (нефть) 2014,НДПИ (нефть) 2017,Задолженность по НДПИ 2014,Задолженность по НДПИ 2017,Задолженность по акцизу на нефтепродукты 2014,Задолженность по акцизу на нефтепродукты 2017,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2014,Задолженность по налогам и сборам в добыче сырой нефти и природного газа 2017,НДПИ (газ горючий природный) 2014,НДПИ (газ горючий природный) 2017,НДПИ (газовый конденсат ) 2014,НДПИ (газовый конденсат ) 2017,Крэк-спред 2013,Крэк-спред 2018,Спарк-спред 2012,Спарк-спред 2018,Цены на мазут 2012,Цены на мазут 2018,Акцизы на нефтепродукты (факт. 2016 г. ),Акцизы на нефтепродукты (Прогноз 2017 г.),Цены на дизель 2013,Цены на дизель 2018
0,Республика Адыгея,Республика Адыгея,,,,,64.1,,30.51659548611111,43.76953125,0.053000000000000005,-6.692,0.001,,1.3090000000000002,2.403,0.115,0.078,0.006999999999999999,,129.395,101.938,1.0390000000000001,6.745,,,,,,,1264.56538735,917.61306104064,30.051979002914553,42.721344373219374
1,Алтайский край,Алтайский край,,,,,,,28.60959375,40.21104861111112,,0.07400000000000001,,,4.481,7.231000000000001,0.023,,,0.742,,,,,,,,,,,7739.55994322,5112.45507436244,31.287664370832747,43.09974049982585
2,Амурская область,Амурская область,,,,,,,32.52663194444445,41.350983333333346,,,,,19.583,12.158,,,,0.001,,,,,,,2113.9066666666668,3834.848333333333,,,2729.64721864,1885.48359337511,34.625273097826096,45.130494505494525
3,Архангельская область,Архангельская область,,,,,,,29.875671296296293,41.79263541666667,,,,,1.226,3.572,,,0.008,0.003,,,,,,,,,,,3207.13871336,2367.62394985328,32.331773690230584,43.85425293400319
4,Астраханская область,Астраханская область,81.0,59.43444444444444,4.536333333333333,66.98670460678015,486.74,72.19,30.24645833333333,42.46593749999999,9038.555,8092.885,23.722,17958.516,0.398,93.675,,,6.032,10.273,7772.526999999999,15930.069,2782.887,23115.471,17357.124330364608,15436.016610862542,,,10047.040080863431,20188.726822469576,2117.97836489,1477.6248840290302,30.104089105339106,41.08746031746032
5,Республика Башкортостан,Республика Башкортостан,83.1,62.717222222222226,7.814999999999999,69.60542450142451,2187.5,30.69,30.19636458333333,41.4761875,31594.589,32842.303,65553.679,97327.13,18.258,19.632,27.85400000000001,0.322,22.22900000000001,6.2940000000000005,19.832,18.559,,,18772.665352104545,21421.538888541905,1980.8891666666668,3622.26,8230.190467635775,16810.767694293518,10824.88960016,8503.7298268873,31.898425925925924,43.26741379310344
6,Белгородская область,Белгородская область,,,,,,,28.932652777777783,39.65333333333333,,-1.605,,,1.937,6.8329999999999975,0.003,0.002,,0.005,,,,,,,,,,,5015.15988344,3486.26689606924,30.8002,40.225
7,Брянская область,Брянская область,,,,,,,29.16104513888888,41.88079166666667,0.001,-0.017,,,20.167,1.6469999999999998,,,0.001,,,,,,,,,,,,2930.91325693,2382.25936731797,30.617665548675614,43.602667403175396
8,Республика Бурятия,Республика Бурятия,,,,,,,31.232388888888888,40.81649652777778,0.005,,,,139.173,4.026,,,,0.184,,,,,,,2113.9066666666668,3834.848333333333,,,2296.75657606,1740.78625844123,34.11160002349624,44.09372126436781
9,Республика Чечено-Ингушска,Чеченская Республика,,,,,5000.0,170.94,29.099708333333336,40.106145833333336,,,2623.329,725.5189999999999,0.151,0.731,0.004,0.004,0.888,0.21600000000000005,0.8370000000000001,1.71,,,,,,,,,2137.09301827,1617.35169982396,28.90266047297297,40.66333948559181
10,Челябинская область,Челябинская область,,,,,,,28.56710520833333,41.03513541666667,,,,,27.04600000000001,30.573,,,0.184,0.03,,,,,,,1755.3475,3459.500833333333,,,7708.07698739,5618.06732677455,31.29110475906828,44.07878595848596
11,Чукотский АОк,Чукотский автономный округ,,,,,333.33,,46.41,50.547222222222224,,,,,0.043,0.795,,,0.14200000000000002,,7.8130000000000015,2.2880000000000003,,,,,2113.9066666666668,3834.848333333333,,,210.26116938,151.600833737981,48.54320754716981,53.769230769230774
12,Чувашская Республика,Чувашская Республика,,,,,,,29.144238095238094,40.839646164021175,,,,,1.226,2.12,,,,,,,,,,,,,,,2633.69916313,1744.37607781936,30.915356125356112,43.06465153923644
13,Санкт-Петербург (горсовет),Санкт-Петербург,,,,,,,30.012760664682546,40.17902380952381,-43.023,1.314,,,1.514,8.620000000000001,,,132.43800000000002,40.02,,,,,,,1910.1641666666665,4362.495833333333,,,10300.67340302,6615.48483399055,32.25556350991171,41.83096153846153
14,Республика Дагестан,Республика Дагестан,,,,,595.24,63.69,29.014968750000005,,1.344,19.122,702.4820000000003,871.4240000000003,11.265999999999998,37.334,0.6409999999999999,0.05,9.958,265.18100000000004,99.838,51.482,2.44,12.675999999999998,16380.79190045286,,,,7343.539681791556,8777.826364509936,6675.51099877,4716.74652291158,23.226226415094327,
15,Республика Алтай,Республика Алтай,,,,,,,27.979875000000003,40.07765625,,,-0.001,,14.088,22.518,,,,0.21600000000000005,,,,,,,,,,,697.49738769,564.153922270848,30.967389176065172,42.09767752715121
16,Респу́блика Ингуше́тия,Республика Ингушетия,,,,,,196.08,28.96420138888889,39.87600000000001,,,173.07299999999995,287.694,463.78,3.1020000000000003,1.845,,2.9330000000000003,4.0760000000000005,,,,,,,,,,,556.5736811,484.90175599980796,29.380194256756763,41.351742690058494
17,Иркутская область,Иркутская область,76.47,63.3,4.55,27.5,11235.7,55.55,30.704241666666665,41.1762,13240.594,11627.856000000002,36773.314,107739.176,45.89100000000001,34.767,8.54,575.6120000000002,10.244000000000002,89.73200000000001,36.70200000000001,3.048,-48.654,39.621,20926.44212771593,21765.334384495127,,,13440.434995063864,20949.548962928897,6449.82793011,4876.631555214471,33.215047799422805,45.23596866096866
18,Ивановская область,Ивановская область,,,,,,,28.24658333333333,40.73338541666666,3.3640000000000003,8.38,,,3.073,1.747,1.858,,0.004,,,,,,,,2660.5925,4267.909166666667,,,2155.83287136,1521.53113642309,30.583920990566025,42.526476794593904
19,Кабардино-Балкарская Респу,Кабардино-Балкарская Республика,,,,,,,29.365636904761896,43.072486111111104,,,5.056,4.333,2.2880000000000003,3.196,5.6629999999999985,,0.003,,,,,,,,2905.349166666667,4118.514166666666,,,1676.09259284,1263.6164211020098,29.072528671846104,41.324722022955534
20,Калининградская область,Калининградская область,,,,,,84.21,30.716284722222234,43.301055555555564,0.001,0.003,1834.888,2154.0840000000007,37.509,13.865,27.466,,98.208,13.300999999999998,,,,,,,1910.1641666666665,4362.495833333333,,,2833.84081011,2145.33128836134,32.064430177459315,44.36798216222078
21,Республика Калмыкия,Республика Калмыкия,,,,,1136.36,125.0,30.325312499999995,43.48817708333333,,,497.56300000000016,811.22,127.894,18.439,0.006,,151.874,91.25,35.66,36.864000000000004,,,16656.855989227308,,,,7573.181754900911,,722.60879207,552.556044279964,30.14894323671497,40.077537493952576
22,Калужская область,Калужская область,,,,,,,28.890933531746036,39.55267559523811,40.705,41.528,,,9.538,24.17,,,0.036000000000000004,,,,,,,,,,,,3308.70872558,2372.3183290400602,30.413908372658373,40.70969225919787
23,Камчатская край,Камчатский край,,,,,28.41,,37.91615277777779,,,,,,0.5690000000000001,0.985,,,0.011000000000000001,0.01,192.041,58.578,6.138,9.346,,,2113.9066666666668,3834.848333333333,,,880.39836838,641.749248828904,41.63665119363396,
24,Карачаево-Черкессия Респуб,Карачаево-Черкесская Республика,,,,,,,29.998277777777766,43.18034027777779,,,,,469.22900000000004,2.79,,,475.886,,,,,,,,,,,,1103.77743511,775.9532655805589,29.80834783499629,41.955150611823676
25,Республика Карелия,Республика Карелия,,,,,,,29.759363095238104,41.19102777777777,,,,,15.304,21.924,,,,,,,,,,,,,,,2270.52078062,1693.2901866690302,32.71035761090761,44.456699917898185
26,Кемеровская область,Кемеровская область,58.1,59.43444444444444,1.0,150.82500000000005,,,28.08080357142857,39.72817857142858,1852.098,87.25,,,1187.9560000000001,500.465,48.543,321.971,2.577,,,,,,17526.901820846382,18904.56951023061,,,9400.0,16274.226154156046,5246.03489192,3741.69635182084,30.083669873746604,43.59891975308643
27,Хабаровский край,Хабаровский край,81.7,61.717222222222226,3.4450000000000003,90.70595238095238,,,32.50313888888889,40.37961689814815,7648.590999999998,13998.042,,,51.20399999999999,9.451,,,1.163,,,,,,,,2113.9066666666668,3834.848333333333,,,2868.32214245,2286.1626639649303,34.72160731244064,46.198432367149756
28,Республика Хакасия,Республика Хакасия,,,,,,,28.85985833333333,40.28942708333333,,,,,11.818,48.69,,,0.002,,,,,,,,,,,,1133.38640588,929.763218935851,31.935037198640142,44.68386039886039
29,Ханты-Мансийский АОк,Ханты-Мансийский автономный округ-Югра,88.0,59.43444444444444,4.536333333333333,10.921981443235412,635.51,51.43,30.677558333333334,42.159213888888885,5829.953,12339.688999999995,1404070.076,1731964.67,50.3,21.327,0.312,3.5290000000000004,448.413,489.78,540.433,568.1410000000002,3.608,14.974,,,1755.3475,3459.500833333333,,,5220.91768658,4112.828447529129,34.924903241412665,47.25364628427128
30,Кировская область,Кировская область,,,,,,3333.33,29.538611111111113,42.0753125,,,65.574,33.935,2.242,6.42,,,,0.369,,,,,,,,,,,3604.04883346,2543.52509938168,31.489425824175825,44.32850000000001
