Наименования месторождения,Год начала добычи,Общество-держатель лицензии,Доля Группы Газпром ,Тип месторождения*,Запасы на 01.01.2013 млрд куб. М (А+В+С1),Запасы на 01.01.2013 млрд куб. М (С2),Доля в запасах РФ,"Добыча в 2012 г., млрд. куб. м",Категория лицензии**,Год истечения срока лицензии***
Медвежье,1972,"ООО ""Газпром добыча Надым""",100%,НГК,571.1,16.8,0.85,12.19,НЭ,2018
Уренгойское,1978,"ООО ""Газпром добыча Уренгой""",100%,НГК,5173.4,1294.4,9.38,95.11,НЭ,2038
Северо-Карамовское,1982,"ОАО ""Газпромнефть-Ноябрьскнефтегаз""",100%,НГК,-,-,-,-,НЭ,2033
Муравленковское,1982,"ОАО ""Газпромнефть-Ноябрьскнефтегаз""",100%,НГ,-,-,-,-,НЭ,2038
Вынгапуровское,1982,"ООО ""Заполярнефть""",100%,НГК,-,-,-,-,НЭ,2034
Южная часть Приобского месторождения,1984,"ООО ""Газпромнефть-Хантос""",100%,Н,-,-,-,-,НЭ,2038
Ен-Яхинское,1985,"ООО ""Газпром добыча Уренгой""",100%,НГК,-,-,-,-,НЭ,2038
Северо-Уренгойское,1987,"ООО ""Газпром добыча Уренгой""",100%,НГК,530,46.5,0.84,9.98,НЭ,2030
Ямбургское,1991,"ООО ""Газпром добыча Ямбург""",100%,НГК,3245.9,946.7,6.08,83.59,НЭ,2018
Юбилейное,1992,"ООО ""Газпром добыча Надым""",100%,НГК,-,-,-,-,НЭ,2018
Комсомольское,1993,"ООО ""Газпром добыча Ноябрьск""",100%,НГК,-,-,-,-,НЭ,2029
Сугмутское,1995,"ОАО ""Газпромнефть-Ноябрьскнефтегаз""",100%,Н,-,-,-,-,НЭ,2050
Западно-Таркосалинское,1996,"ООО ""Газпром добыча Ноябрьск""",100%,НГК,-,-,-,-,НЭ,2018
Спорышевское,1996,"ОАО ""Газпромнефть-Ноябрьскнефтегаз""",100%,Н,-,-,-,-,НЭ,2047
Ямсовейское,1997,"ООО ""Газпром добыча Надым""",100%,НГК,-,-,-,-,НЭ,2018
Губкинское,1999,"ЗАО ""Пургаз""",100%,НГК,-,-,-,-,НЭ,2033
