Номер зоны входа/выхода,Наименование зоны входа/выхода,"Определение границ зоны входа/выхода (набора точек входа/выхода, формирующих зону входа/выхода)","Источники подачи газа, относящиеся к зоне входа/список систем магистральных газопроводов для зон выхода (справочно)"
1,Ямбург,"КС Ямбургская на трассе (газопроводы СРТО - Урал, Ямбург -Поволжье, Ямбург - Тула I, Ямбург - Тула II, Прогресс, Ямбург -Елец I, Ямбург - Елец II)",Ямбургское месторождение                                                                                                                                                                                                                                                             Харвутинское месторождение                                                                                                                                                                                                                                                               Анерьяха                                                                                                                                                                                                                                                                                                Находкинское месторождение                                                                                                                                                                                                                                                           Уренгойское месторождение (север)                                                                                                                                                                                                                                                       Северо-Уренгойское месторождение                                                                                                                                                                                                                                       Юрхаровское месторождение                                                                                                                                                                                                                                                              Песцовое месторождение                                                                                                                                        Ванкорское месторождение                                                                                                       
2,Пуровская,"КС Пуровская на трассе (газопроводы Уренгой - Центр I, Уренгой - Центр II, Уренгой - Ужгород)",Уренгойское месторождение (центр)
,,,Самбургское месторождение
3,Уренгой," Газопровод Заполярное-Уренгой, от врезки 74,6 км.                                                                                                                                                                                                                                                                               КС Ново-Уренгойская (газопроводы Уренгой - Надым I, II, Уренгой - Петровск, Уренгой - Новопсков)",Уренгойское месторождение (юг)
,,,Ен-Яхинское месторождение
,,,Ново-Уренгойское месторождение
,,,Восточно-Уренгойское месторождение
,,, Береговое месторождение
,,,Ево-Яхинское месторождение
,,,Северо-Есетинское месторождение
,,,Яро-Яхинское месторождение
,,,Тазовское месторождение
4,Пангоды,"участок КС Ново-Уренгойская - КС Пангоды (газопроводы Уренгой - Надым I, II, Уренгой - Петровск, Уренгой -Новопсков), ЦД КС на трассе (Медвежье - Надым I, II)",Юбилейное месторождение                                                                                                                                                                                                                                                          Ямсовейское месторождение                                                                                                                                                                                                                                                          Медвежье месторождение
5,Таркосале,"участок КС -01 Ягенетская - КС -02 Пурпейская (газопроводы Уренгой - Челябинск I, II)",Западно-Таркосалинское месторождение
,,,Восточно-Таркосалинское месторождение
,,,Ханчейское месторождение
,,,Юмантыльское месторождение
,,,Северо-Губкинское месторождение
