Название месторождения,Общество-держатель лицензии,Доля Группы Газпром ,Год начала добычи,Степень освоения,По величине извлекаемых запасов,Тип месторождения,Сложность геологического строения,Стадия разработки,Глубина залегания (м.),Годовая добыча нефти (млн тонн),"Добыча в 2012 г., млрд. Куб.",Среднесуточная добыча нефти (тонн/сут.),Добыча нефти с начала разработки (млн тонн),Коэффициент извлечения нефти (КИН),Тип нефти по плотности,"Плотность нефти при 15 град., г/см³",Тип нефти по вязкости,"Вязкость нефти, мПа x с","Запасы нефти по классификации МПР (Приказ 477), извлекаемые запасы A+B1+B2+C1 (млн тонн)","Запасы нефти по классификации МПР (Приказ 477), разрабатываемые, разбуренные А (млн тонн)","Запасы нефти по классификации МПР (Приказ 477), разрабатываемые, неразбуренные, разведанные В1 (млн тонн)","Запасы нефти по классификации МПР (Приказ 477), разрабатываемые, неразбуренные, оцененные В2 (млн тонн)","Запасы нефти по классификации МПР (Приказ 477), разведанные С1 (млн тонн)","Запасы нефти по классификации МПР (Приказ 477), оцененные С2 (млн тонн)",Годовая добыча газа (млрд. м³),Годовая добыча газового конденсата (млн тонн),Годовая проектная мощность добычи газа (млрд. м³),"Запасы газа по классификации МПР (Приказ 477), извлекаемые запасы A+B1+B2+C1 (млрд. м³)","Запасы газа по классификации МПР (Приказ 477), разрабатываемые, разбуренные А (млрд. м³)","Запасы газа по классификации МПР (Приказ 477), разрабатываемые, неразбуренные, разведанные В1 (млрд. м³)","Запасы газа по классификации МПР (Приказ 477), разрабатываемые, неразбуренные, оцененные В2 (млрд. м³)","Запасы газа по классификации МПР (Приказ 477), разведанные С1 (млрд. м³)","Запасы газа по классификации МПР (Приказ 477), оцененные С2 (млрд. м³)",Доля в запасах РФ,"Коммерческие запасы по классификации PRMS (Petroleum Resources Management System), доказанные запасы 1P (млн тонн н.э.)","Коммерческие запасы по классификации PRMS (Petroleum Resources Management System), доказанные запасы 1P (млрд м³)","Коммерческие запасы по классификации PRMS (Petroleum Resources Management System), доказанные + вероятные запасы 2P (млн тонн н.э.)","Коммерческие запасы по классификации PRMS (Petroleum Resources Management System), доказанные + вероятные + возможные запасы 3P (млн тонн н.э.)","Коммерческие запасы по классификации PRMS (Petroleum Resources Management System), доказанные + вероятные + возможные запасы 3P (млрд м³)",Направление/способ транспортировки,Страна,Город,Регион,Широта,Долгота,Категория лицензии,Год истечения срока лицензии
Западно-Салымское,«Салым Петролеум Девелопмент Н.В.»,50%,2004,разрабатываемое,среднее,Н,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,Россия,Салым,,60.288173,70.897522,НЭ,2034.0
Снежное,Imperial Energy,,,разрабатываемое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,На территории Снежного месторождения расположен пункт подготовки нефти и 49 километровый трубопровод до пункта сдачи продукции «Завьялово»,Россия,Нижневартовск,,58.924854,79.694824,,
Майское,Imperial Energy,,,разрабатываемое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Сургут,,60.390791,72.907505,,
Двойное,Imperial Energy,,,разрабатываемое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Нижневартовск,,58.826184,79.45364,,
Фестивальное,Imperial Energy,,,разрабатываемое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,На территории Фестивального месторождения расположен пункт подготовки нефти. Трубопровод до пункта сдачи продукции «Завьялово» проходит от Фестивального месторождения до Северо-Фестивального месторождения.,Россия,Ноябрьск,,63.714455,79.499817,,
Ванкорское,"АО ""Ванкорнефть""",,,разрабатываемое,уникальное,НГК,,,,,8.2,,,,,,,,479.1,,,,,,,,,173.7,,,,,,,,,,,,,Россия,Игарка,,67.757839,83.553772,,
Харьягинское,"АО ""Зарубежнефть""",,,разрабатываемое,крупное,Н,,,,1.5,,,21.0,,,,,,,,,,,160.4,,,,,,,,,,,,,,,,,Россия,Харьяга,,67.142167,56.653056,,
Западно-Мессояхское,"АО ""Мессояханефтегаз""",50%,,готовое к разработке,крупное,НГ,,,800,,,,,,,,,,,,,,,180.0,,,,60.0,,,,,,,,,,,,,Россия,Новый Уренгой,,68.494467,78.364277,НР,2020.0
Восточно-Мессояхское,"АО ""Мессояханефтегаз""",50%,,готовое к разработке,крупное,НГК,,,800,,,,,,,,,,,,,,,300.0,,,,120.0,,,,,,,,,,,,,Россия,Новый Уренгой,,68.510571,79.748554,НР,2020.0
Верх-Тарское,"АО ""Новосибирскнефтегаз""",,,разрабатываемое,крупное,Н,,,,,,,,,,,,,32.0,,,,,68.0,,,,,,,,,,,,,,,,,Россия,Северск,,56.803698,78.718586,,
Северо-Пайяхское,"АО ""ТАЙМЫРНЕФТЕГАЗ""",,,разведываемое,крупное,Н,,,,,,,,,,,,,,,,,,46.7,,,,,,,,,,,,,,,,речным путем через площадку у поселка Мунгуй,Россия,Мунгуй,,70.500002,84.497811,,
Пайяхское,"АО ""ТАЙМЫРНЕФТЕГАЗ""",,,разведываемое,крупное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,Россия,Мунгуй,,70.491111,84.340833,,
Холмогорское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,крупное,Н,,4.0,2850,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,62.95772,74.35546,,
Спорышевское,АО «Газпромнефть-Ноябрьскнефтегаз»,100%,1996,разрабатываемое,крупное,Н,,,,,,,,,Средняя,,,,54.6,,,,,3.3,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.30651,75.51727,НЭ,2047.0
Равнинное,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,Н,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.32809,79.52316,,
Вынгапуровское,АО «Газпромнефть-Ноябрьскнефтегаз»,100%,1982,разрабатываемое,крупное,НГК,,,2519-2622,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.05247,76.91253,НЭ,2034.0
Карамовское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,крупное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.24723,74.56146,,
Пограничное,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,62.89146,75.2481,,
Средне-Итурское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,,,,3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.40689,74.78118,,
Западно-Ноябрьское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.44498,74.99679,,
Новогоднее,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,,,,2825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.44437,76.92901,,
Ярайнерское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,крупное,,сложного строения,,3860-4010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.14939,77.83264,,
Холмистое,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,Н,очень сложного строения,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.23115,80.06835,,
Чатылькинское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,мелкое,,,,2675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.44621,80.98297,,
Воргенское,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разрабатываемое,среднее,Н,,1.0,,,,210.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,63.16613,81.21917,,
Отдельное,АО «Газпромнефть-Ноябрьскнефтегаз»,,,разведываемое,мелкое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Россия,Ноябрьск,,62.979722,74.834444,,
Ичединское,АО «ИНК-Запад»,,,разрабатываемое,крупное,НГ,,,,0.208,,,,,,,,,10.0,,,,,,,,,,,,,,2.75,,,,40.2,,,"Во второй половине 2015 года было закончено строительство нефтепровода протяженностью 48,3 км с Ичёдинского нефтяного месторождения до дожимной насосной станции (ДНС) на Ярактинском НГКМ.",Россия,Иркутск,,57.874229,105.786804,,
