ГПЗ,Компания,Тип,"Подключен к газопроводу - 1, нет - 0",Год основания,"Численность сотрудников, чел","Установленная мощность по переработке природного и попутного газа, млрд куб. м","Установленная мощность по переработке нефти, стабильного газового конденсата, деэтанизированного конденсата, млн т","Установленная мощность по переработке нестабильного газового конденсата, млн т.","Первичная переработка нефти и конденсата, млн т/год","Глубина переработки, %",Окончание модернизации,"Глубина переработки (ожидаемая) после завершения модернизации, %","Автомобильный бензин, млн т","Дизельное топливо, млн т","Керосин, млн т","Нафта, млн т","Мазут, млн т","Прочее, млн т",Состояние,Имеющиеся установки,Планы по модернизации,Страна,Регион,Город,Адрес,Сайт,Электронная почта,Официальное название,Широта,Долгота
Астраханский ГПЗ,ООО «Газпром переработка»,ГПЗ,1,1976,3520,12,3,7.3,2.0383,81,2020,91.3,0.9389,0.544,0,,0.3322,0,в эксплуатации,"установки сепарации пластового газа высокого давления (14 У171, 12 У271); установки сероочистки газа раствором диэтаноламина (14 У172, 12 У272); установки осушки и отбензинивания очищенного газа (У174, 274); установок по производству и хранению серы и доочистки отходящих газов (14 У151, 12 У251); установки очистки и компремирования газов выветривания конденсата (У141, 241); установки стабилизации конденсата и обработки пластовой воды (У120, 220); комбинированная установка, включающая ус­тановку атмосферной перегонки (АТ3) мощностью3млнт/год, газофракционирующую установку(1,8млнт/год) и установку очистки пропанбутановой фракции по методу «Мерокс» (250тыс.т); установка гидроочистки мощностью 2млнт/год; установка каталитического риформинга мощностью 1млнт/год; установка сжигания производственных отходов (У165,265); факельное хозяйство; объекты складской зоны, включающие: складсветлых нефтепродуктов (16 резервуаров по 10000м3),склад сжиженных углеводородных газов (40 буллитов, горизонтальных цилиндрических резервуаров, по 200м3); три наливные эстакады светлых нефтепродуктов на 150 стояков; установка автоматического налива жидкой серы (производительностью 1200т/ч); установка механизированной погрузки твёрдой серы — 600т/ч; установки грануляции серы; подземные хранилища нестабильного конденсата и нефтепродуктов; объекты вспомогательного производственного и обслуживающего назначения; азотнокислородная станция, цех наполнения и хранения кислородных баллонов, склады химических реагентов и масел, склад оборудования, ремонтномеханический цех, центральная заводская лаборатория, инженернолабораторный корпус, заводоуправление, объекты энерговодоснабжения с водозабором на р.Бузан, внешние и внутренние железнодорожные и автомобильные дороги с сооружениями на них и др","создание пиролизного производства этановой фракции и производства полиэтилена (мощностью до 200тыс.т/год); строительство завода по переработке пластмасс,для этого необходима реконструкция установок отбензинивания газа (У174 и У274); проекты, целью которых является увеличение объёмов выпуска и экспорта серы, производства высокотехнологичных серосодержащих строительных и дорожных материалов",Россия,Астраханская область,,"416154, Астраханская обл., Красноярскии р-н, пос. Аксарайский",http://www.gazprom.ru/about/subsidiaries/list-items/gazprom-dobycha-astrakhan/,,ПАО 'Газпром добыча Астрахань',46.793055,8.0028509
Амурский ГПЗ,ООО «Газпром переработка»,ГПЗ,0,,,42,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Белозерский ГПК,АО «СибурТюменьГаз»,ГПЗ,0,,,4.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Вынгапуровский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,1,,,4.2,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Губкинский ГПК,АО «СибурТюменьГаз»,ГПЗ,0,,,2.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Зайкинское ГПП,ПАО «Оренбургнефть»,ГПЗ,0,,,2.2,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Коробковский ГПЗ,ООО «ЛУКОЙЛ-КГПЗ»,ГПЗ,0,,,0.45,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Локосовский ГПК,ООО «ЛУКОЙЛ-Западная Сибирь»,ГПЗ,1,,,2.14,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Миннибаевский ГПЗ,ПАО «Татнефть»,ГПЗ,0,,,3.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
Газохимический завод «Мономер»,ООО «Газпром переработка»,,0,,,1,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,
