,0
0,nan
1,"||Пермский газоперерабатывающий завод|ООО ""ЛУКОЙЛ-Пермнефтеоргсинтез""| ||Первичная переработка природного газа и ПНГ: 1.46 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1991  |||||Страна:|                    Россия                    |||Город:|                    Пермь                    |||Адрес:|                    614055, Российская Федерация, г. Пермь, ул. Промышленная, 84                    ||||Телефон:|                +7 (342) 220-24-67                |||Факс:|                +7 (342) 220-22-88                |||Вебсайт:|pnos.lukoil.ru ||Электронная почта:|lukpnos@pnos.lukoil.com ||||                Координаты:|            ||Широта: 57.880655Долгота: 56.168584 ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
2,"||Пуровский ЗПК|ПАО «НОВАТЭК»| ||Первичная переработка нефти и конденсата: 12 млн. тонн/годСостояние: в эксплуатации Год ввода в эксплуатацию: 2005  |||||Страна:|                    Россия                    |||Город:|                    Тарко-Сале                    |||Адрес:|                    Ямало-Ненецкий АО, Пуровский р-н, рзд.Лимбей, 629880                    ||||Телефон:|                +7 (349) 974-63-00                |||Факс:|                +7 (349) 974-64-64                ||||                Координаты:|            ||Широта: 65.081317Долгота: 77.815990 ||Высота над уровнем моря:||                27.46                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
3,"||Туймазинский ГПЗ|АО «ОНК»| ||Первичная переработка природного газа и ПНГ: 0.73 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1953  |||||Страна:|                    Россия                    |||Город:|                    Туймазы                    |||Адрес:|                    Башкортостан Респ, Туймазинский р-н, д.Нуркеево, ул.Промышленная, д.42, 452774                    ||||Телефон:|                +7 (34712) 5-06-26|+7 (34712) 5-16-06                |||Электронная почта:|habibullinazm@bashneft.ru ||||                Координаты:|            ||Широта: 54.566389Долгота: 53.679886 ||Высота над уровнем моря:||                178.94                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
4,"||Усинский ГПЗ|ООО «ЛУКОЙЛ-Коми»| ||Первичная переработка природного газа и ПНГ: 0.60 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1980  |||||Страна:|                    Россия                    |||Город:|                    Усинск                    |||Адрес:|                    169710, Республика Коми, г. Усинск, ул. Возейская, 21а                    ||||Телефон:|                +7 (82144) 5-66-84                |||Факс:|                +7 (82144) 5-66-04                ||||                Координаты:|            ||Широта: 66.136736Долгота: 57.349491 ||Высота над уровнем моря:||                70.06                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
5,"||Усть-Кутский газоперерабатывающий завод|ООО «ИНК» (Иркутская нефтяная компания)| ||Состояние: строится Год ввода в эксплуатацию: 2022  |||||Страна:|                    Россия                    |||Город:|                    Усть-Кут                    |||Адрес:|                    664000, Россия, г. Иркутск, пр-кт Большой Литейный, д. 4                    ||||Телефон:|                +7 (3952) 211-352                 |||Факс:|                +7 (3952) 211-353                 |||Вебсайт:|irkutskoil.ru ||Электронная почта:|info@irkutskoil.ru ||||                Координаты:|            ||Широта: 56.828126Долгота: 106.012573 ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
6,"||Шкаповский ГПЗ|АО «ОНК»| ||Первичная переработка природного газа и ПНГ: 0.04 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1959  |||||Страна:|                    Россия                    |||Город:|                    Приютово                    |||Адрес:|                    Башкортостан Респ, Белебеевский р-н, рп.Приютово, б-р.Мира, д.7А, пом.2, 452017                    ||||Телефон:|                +7 (34786) 7-14-58|+7 (34786) 7-21-41|+7 (34786) 7-26-74                |||Электронная почта:|shkapovgpp@bashneft.ru ||||                Координаты:|            ||Широта: 53.928931Долгота: 53.990936 ||Высота над уровнем моря:||                326.40                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
7,"||Южно-Балыкский ГПЗ|АО «СибурТюменьГаз»| ||Первичная переработка природного газа и ПНГ: 2.90 млрд. м³/годСостояние: в эксплуатации Год ввода в эксплуатацию: 1978  |||||Страна:|                    Россия                    |||Город:|                    Пыть-Ях                    |||Адрес:|                    628387, Тюменская обл., Ханты-Мансийский автономный округ, г. Пыть-Ях, микрорайон №7, дом 7 ""А""                    ||||Телефон:|                +7 (3463) 44-71-00                |||Факс:|                +7 (3463) 44-76-00                |||Вебсайт:|www.sibur.ru |||                Координаты:|            ||Широта: 60.687868Долгота: 72.859998 ||Высота над уровнем моря:||                64.47                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||"
8,||Газоперерабатывающий завод Южно-Приобского месторождения|ООО «Газпромнефть-Хантос»| ||Первичная переработка природного газа и ПНГ: 0.90 млрд. м³/годСостояние: в эксплуатации  |||||Страна:|                    Россия                    |||Город:|                    Ханты-Мансийск                    |||||                Координаты:|            ||Широта: 61.100208Долгота: 70.196972 ||Высота над уровнем моря:||                51.81                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
9,||Якутский ГПЗ|АО «САХАТРАНСНЕФТЕГАЗ»| ||Состояние: в эксплуатации Год ввода в эксплуатацию: 1994  |||||Страна:|                    Россия                    |||Город:|                    Якутск                    ||||Вебсайт:|aostng.ru |||                Координаты:|            ||Широта: 62.069428Долгота: 129.650645 ||Высота над уровнем моря:||                213.58                м|            ||||Я здесь работаю||Войдите            или            зарегистрируйтесь ||
