ГПЗ	Компания	Состояние	Страна	Город	Адрес	Высота над уровнем моря, м	Первичная переработка природного газа и ПНГ	Первичная переработка нефти и конденсата	Объем производства пропана	Стабильный газовый конденсат	Объем производства гелия	Объем производства этана	Объем производства пропана	Объем производства бутана	Объем производства пентан-гексановой фракции	Год основания	Широта	Долгота
Пермский ГПЗ	ООО ЛУКОЙЛ-Пермнефтеоргсинтез	в эксплуатации  	Россия	Пермь	614055, Российская Федерация, г. Пермь, ул. Промышленная, 84		 1.46 млрд. м³/год  									1991	57.880655	56.168584
Пуровский ЗПК	ПАО «НОВАТЭК»	в эксплуатации  	Россия	Тарко-Сале	Ямало-Ненецкий АО, Пуровский р-н, рзд.Лимбей, 629880	27.46		 12 млн. тонн/год  								2005	65.081317	77.81599
Туймазинский ГПЗ	АО «ОНК»	в эксплуатации  	Россия	Туймазы	Башкортостан Респ, Туймазинский р-н, д.Нуркеево, ул.Промышленная, д.42, 452774	178.94	 0.73 млрд. м³/год  									1953	54.566389	53.679886
Усинский ГПЗ	ООО «ЛУКОЙЛ-Коми»	в эксплуатации  	Россия	Усинск	169710, Республика Коми, г. Усинск, ул. Возейская, 21а	70.06	 0.60 млрд. м³/год  									1980	66.136736	57.349491
Усть-Кутский ГПЗ	ООО «ИНК» (Иркутская нефтяная компания)	строится	Россия	Усть-Кут	664000, Россия, г. Иркутск, пр-кт Большой Литейный, д. 4											2022	56.828126	106.012573
Шкаповский ГПЗ	АО «ОНК»	в эксплуатации  	Россия	Приютово	Башкортостан Респ, Белебеевский р-н, рп.Приютово, б-р.Мира, д.7А, пом.2, 452017	326.4	 0.04 млрд. м³/год  									1959	53.928931	53.990936
Южно-Балыкский ГПЗ	АО «СибурТюменьГаз»	в эксплуатации  	Россия	Пыть-Ях	"628387, Тюменская обл., Ханты-Мансийский автономный округ, г. Пыть-Ях, микрорайон №7, дом 7 """"А"""""	64.47	 2.90 млрд. м³/год  									1978	60.687868	72.859998
Южно-Приобский ГПЗ	ООО «Газпромнефть-Хантос»	в эксплуатации  	Россия	Ханты-Мансийск		51.81	 0.90 млрд. м³/год   										61.100208	70.196972
Якутский ГПЗ	АО «САХАТРАНСНЕФТЕГАЗ»	в эксплуатации  	Россия	Якутск		213.58										1994	62.069428	129.650645
Завод по стабилизации конденсата	ООО «Газпром переработка»	в эксплуатации  	Россия	Сургут		60.98	 3 млрд. м³/год   	 14.10 млн. тонн/год									61.28335	72.994709
Завод по подготовке конденсата к транспорту	ООО «Газпром переработка»	в эксплуатации  	Россия	Новый Уренгой		45.16		 13.70 млн. тонн/год   									66.106335	76.856232
