,0,1,2
0,передний,*************************,*************************
1,задний,*************************,*************************
2,передний задний,"**************************************************Наружные зеркала заднего вида с электроприводом и подогревом, окрашенные в цвет кузова",**************************************************+
3,,"**************************************************переднеприводная, расположение двигателя переднее, поперечное",**************************************************Указывается участником закупки
4,,*************************,*************************
5,передний,*************************,*************************
6,полный,**************************************************Тип привода ,**************************************************полный
7,,*************************,*************************
8,,*************************,*************************
9,,**************************************************nan,**************************************************nan*************************nan
10,,"**************************************************передние противотуманные фары, 
задние противотуманные  фонари,
омыватель передних фар, коррекция угла наклона фар,
легкосплавные диски с шинами соответствующие основному автомобилю,
полноразмерное запасное колесо на легкосплавном диске,
усилитель рулевого управления (или эквивалент) 
регулировка рулевой колонки по углу наклона и вылету,
сиденье водителя с регулировкой в  не менее 6 направлениях,
датчик дождя, 
датчик света, 
боковые зеркала заднего вида с обогревом, электрорегулировкой, электроприводом складывания и повторителями указателей поворота,
подсветка приборной панели 
передние и задние датчики парковки,
Антиблокировочная/ антипробуксовочная система,
система распределения тормозного усилия,
усилитель экстренного торможения (система помощи), 
система курсовой устойчивости /система динамической стабилизации/система активного контроля траектории,
фронтальные подушки безопасности, 
боковые подушки безопасности для первого ряда сидений,
наличие подголовников для водительского и каждого пассажирского места ,
иммобилайзер, центральный замок с ДУ и сигнализацией/охранной системой
Светодиодные дневные ходовые огни
Трансмиссия: не менее 5АКПП
Минимальный дорожный просвет (мм): не менее 160","**************************************************передние противотуманные фары, 
задние противотуманные  фонари,
омыватель передних фар, коррекция угла наклона фар,
легкосплавные диски с шинами соответствующие основному автомобилю,
полноразмерное запасное колесо на легкосплавном диске,
усилитель рулевого управления (или эквивалент) 
регулировка рулевой колонки по углу наклона и вылету,
сиденье водителя с регулировкой в  не менее 6 направлениях,
датчик дождя, 
датчик света, 
боковые зеркала заднего вида с обогревом, электрорегулировкой, электроприводом складывания и повторителями указателей поворота,
подсветка приборной панели 
передние и задние датчики парковки,
Антиблокировочная/ антипробуксовочная система,
система распределения тормозного усилия,
усилитель экстренного торможения (система помощи), 
система курсовой устойчивости /система динамической стабилизации/система активного контроля траектории,
фронтальные подушки безопасности, 
боковые подушки безопасности для первого ряда сидений,
наличие подголовников для водительского и каждого пассажирского места ,
иммобилайзер, центральный замок с ДУ и сигнализацией/охранной системой
Светодиодные дневные ходовые огни
Трансмиссия: не менее 5АКПП
Минимальный дорожный просвет (мм): не менее 160"
11,передних задних колес,**************************************************Привод,"**************************************************Постоянный задний,  с  жестко подключаемым передним"
12,полный,**************************************************Тип привода,**************************************************Полный
13,,**************************************************Привод,**************************************************Привод
14,передний,**************************************************Тип привода,**************************************************передний
15,,*************************,*************************
16,,**************************************************nan,**************************************************nan*************************nan
17,передний,*************************,*************************
18,комбинированный,**************************************************Электропривод и обогрев наружных зеркал,**************************************************наличие
19,передний,**************************************************nan,**************************************************nan*************************nan
20,,*************************,*************************
21,передний,**************************************************Тип привода,**************************************************передний
22,,*************************,*************************
23,передний,**************************************************Привод:*************************Привод:,**************************************************Привод:*************************Привод:
24,полный,**************************************************Тип привода  ,**************************************************
25,передний,**************************************************Привод ,**************************************************Передний
26,передний,"**************************************************Технические характеристики
Тип кузова: седан
Масса и габариты
Длина, (мм) не менее 4600 и не более 4700
Ширина, (мм) не менее 1600 и не более – 1700
Высота, (мм) не более- 1550
Колесная база, (мм) не менее – 2700
Дорожный просвет, (мм) не менее- 160
Объем багажного отделения,  (л) не менее- 500
Снаряженная масса, (кг) не более – 1200
Двигатель 
Бензиновый
Объем двигателя (см3) – не менее 1550 и не более 1600
Мощность, (л.с) - не менее 100 и не более 105
Максимальный крутящий момент (Нм) – не менее 145
Экологический класс – не ниже евро 4
Трансмиссия 
Коробка передач – механическая 5-ти ступенчатая
Тип привода – передний
Шасси 
Тормоза передние - дисковые
Передняя подвеска- независимая типа Макферсон
Задняя подвеска-  торсионная балка с пружинами
Рулевое управление с гидроусилителем
Динамические характеристики 
Максимальная скорость не менее - 185 км в час
Разгон 0-100км/ч (сек)- не более 11
Объем топливного бака (л) – не менее  50
Расход топлива в смешанном цикле (л/100км)–не более 7,2 
Система безопасности
Обязательное наличие
АВS - антиблокировочная система тормозов
EBD -  Система распределения тормозных усилий
Фронтальные подушки безопасности водителя и переднего пассажира
Трехточечные ремни безопасности всех сидений 
(с ограничителями нагрузки для передних сидений)
Центральный замок с дистанционным управлением
Стальная защита картера
Комфорт
Кондиционер
Воздуховоды к ногам задних пассажиров 		
Карманы в спинках передних сидений			
Регулировка сиденья водителя 4 направлениях (в том числе по высоте)
Открывание багажного отделения из салона
Бортовой компьютер	
Аудиосистема с поддержкой MP3 и 4 динамиками	
Электрические стеклоподъемники передних дверей
Обогрев заднего стекла с таймером
Наружные зеркала с электроприводом и подогревом
Подогрев передних сидений
Регулировка рулевого колеса по углу наклона 
Внешний вид
Передние противотуманные фары
Лакокрасочное покрытие кузова – цвет металлик (по согласованию с заказчиком)
15'' легкосплавные колесные диски 
Полноразмерное 15'' запасное колесо	
Год производства – не ранее 2016 года
Гарантия не менее 3 лет с даты продажи или не менее 100 тыс. км. пробега
","**************************************************

1 шт."
27,,**************************************************1.7. Привод: передний *************************1.7. Привод: передний ,**************************************************2 шт.*************************1.7. Привод: передний 
28,передний,*************************,*************************
29,передний,*************************,*************************
30,задний,**************************************************Тип привода*************************Тип привода*************************Тип привода,**************************************************Тип привода*************************-*************************-
31,,*************************,*************************
32,,*************************,*************************
33,передний,*************************,*************************
34,передний задний,*************************,*************************
35,постоянный,**************************************************nan,**************************************************nan*************************nan
36,,*************************,*************************
37,,*************************,*************************
38,,**************************************************переднеприводная*************************переднеприводная,**************************************************наличие*************************наличие
39,передний,**************************************************Передний привод,**************************************************
40,передний,**************************************************nan,**************************************************nan*************************nan
