Index_1,коробка_передач,марка,модель,привод,ширина,объем_двигателя_куб_см,длина,максимальная_скорость,масса_авто_снаряженная,год_выпуска,мощность_л_с,потребление_топлива_городской_цикл_л_100км,,1_коробка_передач_1,2_коробка_передач_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
3,механика,dacia,logan,передний,1733,,4346,172,1545,2016,90 л.с.,9.8,,**************************************************Коробка передач,**************************************************,*************************,*************************,**************************************************Ширина (без боковых зеркал),**************************************************,**************************************************nan*************************Рабочий объем цилиндров,**************************************************nan*************************nan*************************,**************************************************Длина ,**************************************************,**************************************************Максимальная скорость,**************************************************,**************************************************Полная масса транспортного средства,**************************************************,*************************,*************************,**************************************************Максимальная мощность,**************************************************,**************************************************Расход топлива,**************************************************
5,механическая,,,задний,,,,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************
6,,,,передний,1800,1652,4056,,,,,,,*************************,*************************,"**************************************************Наружные зеркала заднего вида с электроприводом и подогревом, окрашенные в цвет кузова",**************************************************+,"**************************************************Габаритные размеры,
длина (мм)
ширина (мм)
высота (мм)","**************************************************
не менее 4056
не менее 1800
не менее 1652",**************************************************Рабочий объем двигателя (л),"**************************************************не менее 1,7","**************************************************Габаритные размеры,
длина (мм)
ширина (мм)
высота (мм)","**************************************************
не менее 4056
не менее 1800
не менее 1652",*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Мощность (л.с.),**************************************************не менее 80,"**************************************************Расход топлива:
загородный (л)
городской (л)
смешанный (л)","**************************************************
не  менее 8,8
не менее 14,1
не менее 10,8"
8,5МКПП,,,переднеприводная,1700,,4260,,,2016,,,,**************************************************Коробка передач / число передач,**************************************************механическая с тросовым приводом/ 5,"**************************************************переднеприводная, расположение двигателя переднее, поперечное",**************************************************Указывается участником закупки,"**************************************************Габаритные размеры: длина / ширина / высота, мм, не менее",**************************************************4260 / 1700 / 1500 (*),"**************************************************Объем багажного отделения, куб. дм., не менее",**************************************************520 (*),"**************************************************Габаритные размеры: длина / ширина / высота, мм, не менее",**************************************************4260 / 1700 / 1500 (*),"**************************************************Максимальная скорость, км/ч, не менее",**************************************************165 (*),"**************************************************Масса в снаряженном состоянии / полная, кг, не менее",**************************************************1160 / 1560 (*),**************************************************Год выпуска ,"**************************************************Не ранее 2016 г., без пробега (*)","**************************************************Максимальная мощность, кВт (л.с.) / об. мин., не менее",**************************************************64 (87) / 5100 (*),"**************************************************Расход топлива в смешанном цикле, л/100 км, не более","**************************************************7,2 (*)"
12,механическая,,,,,1998,,,,2016,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
13,автоматическая,toyota,camry,передний,1825,1990,4850,210,2100,2016,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
16,механическая,,,полный,,,,140,,,,,,**************************************************Механическая коробка передач,**************************************************наличие,**************************************************Тип привода ,**************************************************полный,*************************,*************************,"**************************************************Объем багажного отделения, л: ",**************************************************не менее 320,*************************,*************************,"**************************************************Максимальная скорость, км/ч: ",**************************************************не менее 140,"**************************************************Полная масса, кг:  ",**************************************************не менее 1860,"**************************************************Год выпуска:
",**************************************************не ранее 2016 года,"**************************************************Номинальная мощность, л.с.:","**************************************************не менее 79,6","**************************************************Двигатель бензиновый, 4-цилиндровый, рядный с распределенным впрыском топлива",**************************************************наличие
17,автоматическая,,,,1800,,4300,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan
18,,,,,,,,,,,,,,*************************,*************************,*************************,*************************,"**************************************************Ширина, мм",**************************************************,"**************************************************Рабочий объем, л",**************************************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Мощность, л.с.(кВт)",**************************************************,*************************,*************************
20,,,,,1822,1998,4315,100,1394,2016,,,,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,**************************************************nan,**************************************************nan*************************nan,"**************************************************Рабочий объем двигателя, см3 ",**************************************************Не менее 1998,**************************************************nan,**************************************************nan*************************nan,"**************************************************Максимальная скорость, км/ч ",**************************************************Не менее 174,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Мощность, л.с
Мощность двигателя, обороты в минуту","**************************************************Не более 143
5750  или 5500","**************************************************Расход топлива в городском цикле, л. на ","**************************************************Не более 11,3"
