,0,1_коробка_передач_1,2_коробка_передач_2,1_мод_1,2_мод_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
0,3,**************************************************Коробка передач,**************************************************,"**************************************************nan*************************Товарный знак (его словесное обозначение),  знак обслуживания, фирменное наименование, патенты, полезные модели, промышленные образцы, наименование места происхождения товара или наименование производителя товара",**************************************************nan*************************nan*************************№ показателя,*************************,*************************,**************************************************Ширина (без боковых зеркал),**************************************************,**************************************************nan*************************Рабочий объем цилиндров,**************************************************nan*************************nan*************************,**************************************************Длина ,**************************************************,**************************************************Максимальная скорость,**************************************************,**************************************************Полная масса транспортного средства,**************************************************,*************************,*************************,**************************************************Максимальная мощность,**************************************************,**************************************************Расход топлива,**************************************************
1,5,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************
2,6,*************************,*************************,*************************,*************************,"**************************************************Наружные зеркала заднего вида с электроприводом и подогревом, окрашенные в цвет кузова",**************************************************+,"**************************************************Габаритные размеры,
длина (мм)
ширина (мм)
высота (мм)","**************************************************
не менее 4056
не менее 1800
не менее 1652",**************************************************Рабочий объем двигателя (л),"**************************************************не менее 1,7","**************************************************Габаритные размеры,
длина (мм)
ширина (мм)
высота (мм)","**************************************************
не менее 4056
не менее 1800
не менее 1652",*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Мощность (л.с.),**************************************************не менее 80,"**************************************************Расход топлива:
загородный (л)
городской (л)
смешанный (л)","**************************************************
не  менее 8,8
не менее 14,1
не менее 10,8"
3,8,**************************************************Коробка передач / число передач,**************************************************механическая с тросовым приводом/ 5,*************************,*************************,"**************************************************переднеприводная, расположение двигателя переднее, поперечное",**************************************************Указывается участником закупки,"**************************************************Габаритные размеры: длина / ширина / высота, мм, не менее",**************************************************4260 / 1700 / 1500 (*),"**************************************************Объем багажного отделения, куб. дм., не менее",**************************************************520 (*),"**************************************************Габаритные размеры: длина / ширина / высота, мм, не менее",**************************************************4260 / 1700 / 1500 (*),"**************************************************Максимальная скорость, км/ч, не менее",**************************************************165 (*),"**************************************************Масса в снаряженном состоянии / полная, кг, не менее",**************************************************1160 / 1560 (*),**************************************************Год выпуска ,"**************************************************Не ранее 2016 г., без пробега (*)","**************************************************Максимальная мощность, кВт (л.с.) / об. мин., не менее",**************************************************64 (87) / 5100 (*),"**************************************************Расход топлива в смешанном цикле, л/100 км, не более","**************************************************7,2 (*)"
4,12,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
5,13,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
6,16,**************************************************Механическая коробка передач,**************************************************наличие,"**************************************************Указание на товарный знак (его словесное обозначение) (при наличии), знак обслуживания (при наличии), фирменное наименование (при наличии), патенты (при наличии), полезные модели (при наличии), промышленные образцы (при наличии)",**************************************************,**************************************************Тип привода ,**************************************************полный,*************************,*************************,"**************************************************Объем багажного отделения, л: ",**************************************************не менее 320,*************************,*************************,"**************************************************Максимальная скорость, км/ч: ",**************************************************не менее 140,"**************************************************Полная масса, кг:  ",**************************************************не менее 1860,"**************************************************Год выпуска:
",**************************************************не ранее 2016 года,"**************************************************Номинальная мощность, л.с.:","**************************************************не менее 79,6","**************************************************Двигатель бензиновый, 4-цилиндровый, рядный с распределенным впрыском топлива",**************************************************наличие
7,17,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan
8,18,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Ширина, мм",**************************************************,"**************************************************Рабочий объем, л",**************************************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Мощность, л.с.(кВт)",**************************************************,*************************,*************************
9,20,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,**************************************************nan,**************************************************nan*************************nan,"**************************************************Рабочий объем двигателя, см3 ",**************************************************Не менее 1998,**************************************************nan,**************************************************nan*************************nan,"**************************************************Максимальная скорость, км/ч ",**************************************************Не менее 174,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Мощность, л.с
Мощность двигателя, обороты в минуту","**************************************************Не более 143
5750  или 5500","**************************************************Расход топлива в городском цикле, л. на ","**************************************************Не более 11,3"
10,21,**************************************************Коробка передач,**************************************************Автоматическая ,*************************,*************************,"**************************************************передние противотуманные фары, 
задние противотуманные  фонари,
омыватель передних фар, коррекция угла наклона фар,
легкосплавные диски с шинами соответствующие основному автомобилю,
полноразмерное запасное колесо на легкосплавном диске,
усилитель рулевого управления (или эквивалент) 
регулировка рулевой колонки по углу наклона и вылету,
сиденье водителя с регулировкой в  не менее 6 направлениях,
датчик дождя, 
датчик света, 
боковые зеркала заднего вида с обогревом, электрорегулировкой, электроприводом складывания и повторителями указателей поворота,
подсветка приборной панели 
передние и задние датчики парковки,
Антиблокировочная/ антипробуксовочная система,
система распределения тормозного усилия,
усилитель экстренного торможения (система помощи), 
система курсовой устойчивости /система динамической стабилизации/система активного контроля траектории,
фронтальные подушки безопасности, 
боковые подушки безопасности для первого ряда сидений,
наличие подголовников для водительского и каждого пассажирского места ,
иммобилайзер, центральный замок с ДУ и сигнализацией/охранной системой
Светодиодные дневные ходовые огни
Трансмиссия: не менее 5АКПП
Минимальный дорожный просвет (мм): не менее 160","**************************************************передние противотуманные фары, 
задние противотуманные  фонари,
омыватель передних фар, коррекция угла наклона фар,
легкосплавные диски с шинами соответствующие основному автомобилю,
полноразмерное запасное колесо на легкосплавном диске,
усилитель рулевого управления (или эквивалент) 
регулировка рулевой колонки по углу наклона и вылету,
сиденье водителя с регулировкой в  не менее 6 направлениях,
датчик дождя, 
датчик света, 
боковые зеркала заднего вида с обогревом, электрорегулировкой, электроприводом складывания и повторителями указателей поворота,
подсветка приборной панели 
передние и задние датчики парковки,
Антиблокировочная/ антипробуксовочная система,
система распределения тормозного усилия,
усилитель экстренного торможения (система помощи), 
система курсовой устойчивости /система динамической стабилизации/система активного контроля траектории,
фронтальные подушки безопасности, 
боковые подушки безопасности для первого ряда сидений,
наличие подголовников для водительского и каждого пассажирского места ,
иммобилайзер, центральный замок с ДУ и сигнализацией/охранной системой
Светодиодные дневные ходовые огни
Трансмиссия: не менее 5АКПП
Минимальный дорожный просвет (мм): не менее 160",*************************,*************************,**************************************************Объем двигателя (куб. см),**************************************************Не менее 2400,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************Год выпуска:,**************************************************Не ранее 2016,**************************************************Максимальная мощность,**************************************************Не менее 170 л.с. и не более 200 л.с.,**************************************************Расход топлива л/100км смешанный,**************************************************Не более 9
11,50,**************************************************Коробка передач,"**************************************************Механическая, 5 ступенчатая",*************************,*************************,**************************************************Привод,"**************************************************Постоянный задний,  с  жестко подключаемым передним",**************************************************Ширина (без  учета  зеркал) в мм.,**************************************************Не менее 1900,**************************************************Объем двигателя,"**************************************************Не менее 2,6л",************************************************** Длина в мм,**************************************************Не менее 4785,*************************,*************************,"**************************************************Снаряженная масса ,кг",************************************************** Не менее 2125,**************************************************Год выпуска,**************************************************Не ранее 2016,**************************************************Максимальная мощность  л.с.(квт),"**************************************************Не менее 128(94,1) при 4600об\мин","************************************************** Расход топлива, л\100км пути (при90км\ч)","**************************************************Не более 11,5"
12,58,**************************************************Коробка передач,**************************************************механическая,*************************,*************************,**************************************************Тип привода,**************************************************Полный,**************************************************Ширина,**************************************************не менее 1765 мм не более 1822 мм,"**************************************************Рабочий объем, куб. м.",**************************************************не менее 1998 ,**************************************************Длина,**************************************************не менее 4273 мм не более 4342 мм ,*************************,*************************,**************************************************Полная масса,**************************************************не менее 1841 кг не более 1877 кг,*************************,*************************,**************************************************Максимальная мощность,**************************************************не менее 143 л.с. при 5750 об/мин  ,*************************,*************************
13,68,**************************************************Коробка передач,**************************************************Коробка передач,**************************************************nan,**************************************************nan*************************nan,**************************************************Привод,**************************************************Привод,*************************,*************************,"**************************************************Рабочий объем, л ","**************************************************Рабочий объем, л ",*************************,*************************,*************************,*************************,"**************************************************Снаряженная масса, кг","**************************************************Снаряженная масса, кг",**************************************************nan,**************************************************nan*************************nan,"**************************************************Максимальная мощность, л.с. (кВт)","**************************************************Максимальная мощность, л.с. (кВт)","**************************************************Расход топлива, л/100 км пути:","**************************************************Расход топлива, л/100 км пути:"
14,85,*************************,*************************,*************************,*************************,**************************************************Тип привода,**************************************************передний,**************************************************Ширина (мм),**************************************************не менее 1814,**************************************************Объем (см3),**************************************************не менее 1598,**************************************************Длина (мм),**************************************************не менее 4658,**************************************************Макс. скорость (км/ч),**************************************************не менее 191,"**************************************************Технические характеристики (размеры, масса и объемы)",**************************************************,*************************,*************************,*************************,*************************,*************************,*************************
15,87,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Ширина, м*************************Ширина, м",**************************************************Не менее 2100*************************,"**************************************************Наименование и описание объекта закупки, количество поставляемого товара, объем выполняемых работ, оказываемых услуг*************************Рабочий объем, л*************************Рабочий объем, л","**************************************************Указано в части II «ТЕХНИЧЕСКОЕ ЗАДАНИЕ» настоящей документации об аукционе*************************Не менее 2,7*************************","**************************************************Длина, м*************************Длина, м",**************************************************Не менее 4820*************************,"**************************************************Максимальная скорость, км/ч*************************Максимальная скорость, км/ч",**************************************************Не менее 115*************************,*************************,*************************,*************************,*************************,"**************************************************Мощность двигателя, л.с.*************************Мощность двигателя, л.с.",**************************************************Не менее 112*************************,*************************,*************************
16,118,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
