index_name,all_indexes,purchase_number,done,completed_car_purchase,price,price_per_one,auction,real_price,numb_bidders,kolichestvo,коробка_передач,марка,модель,привод,ширина,длина,объем_двигателя_куб_см,максимальная_скорость,масса_авто_снаряженная,год_выпуска,мощность_л_с,потребление_топлива_городской_цикл_л_100км,filename,sha_id,filetype,v2
3,3,372200026816000053,1.0,1.0,607902.33,607902.33,1,607902.33,1,1,МКПП,dacia,logan,передний,1733,4346,,172,1545,2016,90,9.8,1ba23d353bf63fb0a234f2b6a9d14e1037f4a60148f3f585a9b702dc5c14a630.docx,1ba23d353bf63fb0a234f2b6a9d14e1037f4a60148f3f585a9b702dc5c14a630,docx,я 
5,"5, 25",832200006616001265,,1.0,999833.33,999833.33,1,999833.32,1,1,МКПП,,,задний,,,,,,,,,024c72855e2fba691b939d0086663ad1443796412de9f317246cfc16f7b101b5.docx,024c72855e2fba691b939d0086663ad1443796412de9f317246cfc16f7b101b5,docx,я 
6,6,146300031216000008,,1.0,685000.0,685000.0,1,684000.0,1,1,,,,передний,1800,4056,1700,,,,80,14.1,ca66aceb8b70fb06cf8baf7a97d241f4840f2d595544e42bd6c6baec29dcc7bc.docx,ca66aceb8b70fb06cf8baf7a97d241f4840f2d595544e42bd6c6baec29dcc7bc,docx,я
8,"8, 36",328300015616000270,,1.0,383900.0,383900.0,1,383900.0,2,1,5МКПП,,,передний,1700,4260,,165,1160,2016,87,7.2,f4a04f18a5305d9b15eb45bae4532fdaa9f4360660e24ec382148c70fba137db.docx,f4a04f18a5305d9b15eb45bae4532fdaa9f4360660e24ec382148c70fba137db,docx,я Лада Гранта или эквивалент
12,12,845300015016000715,,1.0,998456.0,998456.0,1,998456.0,1,1,МКПП,,,,,,1998,,,2016,,,da80d318cb1666e928232bc3833f0aff402d841c732486c0c0c15ede407c96e3.docx,da80d318cb1666e928232bc3833f0aff402d841c732486c0c0c15ede407c96e3,docx,я 
13,"13, 28, 40",173200024416000142,,1.0,2999666.66,1499833.33,1,2939673.33,1,2,АКПП,toyota,camry,передний,1825,4850,1990,210,2100,2016,,,382dfe4e26eb371045ae699256a2c174518fa9a97c8b714986a3ae5775693714.docx,382dfe4e26eb371045ae699256a2c174518fa9a97c8b714986a3ae5775693714,docx,ные дороги ТиНАО»
16,"16, 62",328300172416000002,,1.0,599666.66,599666.66,1,557690.04,2,1,МКПП,,,полный,,,,140,1860,2016,79.6,,9ecb011bc06b0b10f17d419b1ecc68e59f6ae68c0fdb61a9f85ff1faa0585dcf.docx,9ecb011bc06b0b10f17d419b1ecc68e59f6ae68c0fdb61a9f85ff1faa0585dcf,docx,я 
17,17,151300046117000004,,1.0,1000000.0,1000000.0,1,1000000.0,1,1,АКПП,,,,1800,4300,,,,,,,2d4041698e59ada41cc9ab6b56c8c9da72cd8bc190e96cb100e65620e36615fc.docx,2d4041698e59ada41cc9ab6b56c8c9da72cd8bc190e96cb100e65620e36615fc,docx,я 
18,"18, 54",142200001316016312,,1.0,1315000.0,1315000.0,1,1308425.0,1,1,,,,,,,,,,,,,0db5c8f6f0314793cc8b93cf7211471637b5e058a603a95c97b96bdf13c3096e.docx,0db5c8f6f0314793cc8b93cf7211471637b5e058a603a95c97b96bdf13c3096e,docx,я 
20,20,303300076016000012,,1.0,1000000.0,1000000.0,1,1000000.0,1,1,,,,,1822,4315,1998,174,1394,2016,143,11.3,6ba44c495d16297120b6114fec7e498b3ab76f2592b1f0dbeb38a1f345bef7bf.docx,6ba44c495d16297120b6114fec7e498b3ab76f2592b1f0dbeb38a1f345bef7bf,docx,я 
