"","col1","col2"
"1","Закупка завершена","поставка автомобиля легкового, переднеприводного (седан)"
"2","Закупка завершена","Поставка автотранспортного средства ( UAZ PATRIOT  или эквивалент)"
"3","Работа комиссии","Приобретение автотранспортного средства для перевозки людей с ограниченными физическими возможностями на процедуру гемодиализа"
"4","Работа комиссии","Поставка автомобиля для нужд ГБУ «Поликлиника № 7 г.Грозного»"
"5","Закупка завершена","Поставка легкового автомобиля для нужд Муниципального бюджетного учреждения «Межпоселенческая центральная библиотека» муниципального района Уфимский район Республики Башкортостан"
"6","Закупка завершена","Автомобиль"
"7","Закупка завершена","867ЭА-2-15. Поставка легкового автомобиля для государственного бюджетного учреждения Нижегородской области «Волга»"
"8","Работа комиссии","Поставка автомобилей для нужд ГБУ «Лаборатория экологического контроля»."
"9","Закупка завершена","Поставка автомобиля для нужд администрации Тоншаевского муниципального района Нижегородской области"
"10","Работа комиссии","Аукцион в электронной форме на право заключения контракта на поставку автомобилей для перевозки дорожных рабочих"
"11","Работа комиссии","Поставка легкового автомобиля"
"12","Закупка завершена","Приобретение и поставка автомобиля ГАЗ 322121 «Газель» (или эквивалент)"
"13","Закупка завершена","Закупка автомобилей скорой медицинской помощи для специализированных врачебных бригад."
"14","Закупка завершена","Аукцион в электронной форме на закупку автобусов для нужд системы образования города Москвы в 2015 году"
"15","Закупка завершена","приобретение нового легкового  автомобиля   для Администрации  Правохавского  сельского поселения Верхнехавского муниципального района Воронежской области( для субъектов малого предпринимательства и социально ориентированных некоммерческих организаций)"
"16","Работа комиссии","Поставка автомашины"
"17","Закупка завершена","Автомобильная техника"
"18","Работа комиссии","закупка автомобиля"
"19","Закупка завершена","Поставка автомобиля легкового повышенной проходимости УАЗ – 2206 или эквивалент"
"20","Работа комиссии","поставка легкового автомобиля"
"21","Закупка завершена","Поставка легкового автомобиля для нужд МАУ МФЦ г.Фокино"
"22","Закупка завершена","Закупка легкового автомобиля"
"23","Закупка завершена","Автомобиль легковой с двигателем с искровым зажиганием, с рабочим объемом цилиндров более 1800 см3, но не более 3000 см3, новый"
"24","Закупка завершена","Приобретение школьного автобуса для перевозки детей."
"25","Закупка завершена","Поставка легковых автомобилей для нужд Северо-Кавказского филиала"
"26","Закупка завершена","Поставка автобуса для перевозки детей"
"27","Закупка завершена","Поставка легкового автомобиля повышенной проходимости для нужд Озёрского сельсовета Никифоровского района Тамбовской области"
"28","Закупка завершена","Поставка автомобиля"
"29","Работа комиссии","Поставка автомобиля"
"30","Закупка завершена","Поставка легкового автомобиля"
"31","Работа комиссии","Поставка (приобретение) автомобиля для нужд Отдела Федеральной миграционной службы по Республике Калмыкия"
"32","Работа комиссии","поставка автомобиля"
"33","Закупка завершена","Поставка легковых автомобилей для нужд Министерства сельского хозяйства и продовольствия Московской области"
"34","Закупка завершена","Поставка автобуса для нужд Главного управления природных ресурсов и экологии Алтайского края"
"35","",""
"36","Закупка завершена","Поставка автобуса Мерседес-Бенц Sprinter или эквивалента вместимостью до 22 чел."
"37","Закупка завершена","поставка автомобиля грузового с промтоварным фургоном"
"38","Закупка завершена","Легковой автомобиль, седан, цвет «Серый», в количестве 1 (одной) штуки в соответствии с функциональными, техническими, качественными характеристиками товара, указанными в техническом задании и приложениях к нему."
"39","Закупка завершена","№16 - ЭА2 - 1245: легковой автомобиль"
"40","Закупка завершена","Поставка автомобилей"
