"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","143551.2",""
"5","январь-июнь","тысяча рублей","364525.3",""
"6","январь-сентябрь","тысяча рублей","685839.6",""
"7","январь-декабрь","тысяча рублей","832160.8",""
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","12069.3",""
"10","январь-июнь","тысяча рублей","22649.8",""
"11","январь-сентябрь","тысяча рублей","32559.9",""
"12","январь-декабрь","тысяча рублей","44085",""
