"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","527048.8","1361671.2"
"5","январь-июнь","тысяча рублей","1424687.4","2370278.2"
"6","январь-сентябрь","тысяча рублей","1873248","2788933.8"
"7","январь-декабрь","тысяча рублей","3058114.7","5642963.8"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","60317.8",""
"10","январь-июнь","тысяча рублей","78471.2",""
"11","январь-сентябрь","тысяча рублей","93172.9",""
"12","январь-декабрь","тысяча рублей","104392.9",""
