"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","2648191.2","1935791.8"
"5","январь-июнь","тысяча рублей","4863792.2","3425774.6"
"6","январь-сентябрь","тысяча рублей","6983369.1","4801149.1"
"7","январь-декабрь","тысяча рублей","9823109.7","6556810.1"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","2444933.8","1772137.8"
"10","январь-июнь","тысяча рублей","4331097.9","3057583.7"
"11","январь-сентябрь","тысяча рублей","6189296.9","4273845.2"
"12","январь-декабрь","тысяча рублей","8795457.6","5840760.1"
"13","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"14","январь-март","тысяча рублей","4601.3","1099.4"
"15","январь-июнь","тысяча рублей","11448.6","2318.4"
"16","январь-сентябрь","тысяча рублей","15187.9","3541.5"
"17","январь-декабрь","тысяча рублей","17891.1","10910.4"
