"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","53243.5","72961.5"
"5","январь-июнь","тысяча рублей","121055.3","153428.4"
"6","январь-сентябрь","тысяча рублей","171025","220142"
"7","январь-декабрь","тысяча рублей","240650","297160.3"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","801.6","774.5"
"10","январь-июнь","тысяча рублей","1428","1407.9"
"11","январь-сентябрь","тысяча рублей","2065.3","2063"
"12","январь-декабрь","тысяча рублей","2866.1","2734.9"
