"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","1166889.5","604807"
"5","январь-июнь","тысяча рублей","2276896.5","2126844.6"
"6","январь-сентябрь","тысяча рублей","5208114.9","4877502"
"7","январь-декабрь","тысяча рублей","6635361.2","8000649.3"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-июнь","тысяча рублей","","957115.6"
"10","январь-сентябрь","тысяча рублей","4484403","3145341.6"
"11","январь-декабрь","тысяча рублей","5388095.5","5696165.9"
