"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","243099.5","224137.2"
"5","январь-июнь","тысяча рублей","383704.4","403442.7"
"6","январь-сентябрь","тысяча рублей","576185.9","644835.3"
"7","январь-декабрь","тысяча рублей","1930658","2527975.8"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","6715.6","3281.5"
"10","январь-июнь","тысяча рублей","12681.7","6138.2"
"11","январь-сентябрь","тысяча рублей","20062.8","8099.1"
"12","январь-декабрь","тысяча рублей","23880.9","9941.9"
