"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","250271.2","160083.1"
"5","январь-июнь","тысяча рублей","334541.6","294310.8"
"6","январь-сентябрь","тысяча рублей","435352.1","434424.4"
"7","январь-декабрь","тысяча рублей","1234430.3","1090760.6"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","928.9","940.8"
"10","январь-июнь","тысяча рублей","1315.9","1360.3"
"11","январь-сентябрь","тысяча рублей","1302.9","1622.2"
"12","январь-декабрь","тысяча рублей","2300.7","2686.7"
