"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","4077032.7","4423285"
"5","январь-июнь","тысяча рублей","9658437.9","12245274.1"
"6","январь-сентябрь","тысяча рублей","15254618","19378596.2"
"7","январь-декабрь","тысяча рублей","20517646.3","28424676"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","2676.4","2737.5"
"10","январь-июнь","тысяча рублей","3933.4","4028.2"
"11","январь-сентябрь","тысяча рублей","4313.6","4378.8"
"12","январь-декабрь","тысяча рублей","6791.5","5858.8"
"13","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"14","январь-март","тысяча рублей","5969",""
"15","январь-июнь","тысяча рублей","15719.1",""
"16","январь-сентябрь","тысяча рублей","22627",""
"17","январь-декабрь","тысяча рублей","25430.5",""
