"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","711292.4","637836.1"
"5","январь-июнь","тысяча рублей","1264748.1","1225067.6"
"6","январь-сентябрь","тысяча рублей","1936488.9","2014977.4"
"7","январь-декабрь","тысяча рублей","2881579","3270859.5"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","63180.6","52350.5"
"10","январь-июнь","тысяча рублей","86635.4","82328.1"
"11","январь-сентябрь","тысяча рублей","96674.7","106046.6"
"12","январь-декабрь","тысяча рублей","143962.1","158364.2"
