"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","977939.3","2923404.4"
"5","январь-июнь","тысяча рублей","1767080.9","13725837.2"
"6","январь-сентябрь","тысяча рублей","3031652.7","23815276"
"7","январь-декабрь","тысяча рублей","6323617","29427387.3"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-июнь","тысяча рублей","78501.2",""
"10","Раздел C Обрабатывающие производства","","",""
"11","январь-июнь","тысяча рублей","408",""
"12","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"13","январь-июнь","тысяча рублей","12711.9",""
"14","январь-декабрь","тысяча рублей","","3321562.8"
"15","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"16","январь-июнь","тысяча рублей","8418",""
