"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","10228908.7","6471597.4"
"5","январь-июнь","тысяча рублей","20322148.3","13827531.8"
"6","январь-сентябрь","тысяча рублей","32741423.7","20781436.6"
"7","январь-декабрь","тысяча рублей","43157654.3","29826134.7"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","9033316.3","5320129.9"
"10","январь-июнь","тысяча рублей","17895717.8","11643386.6"
"11","январь-сентябрь","тысяча рублей","29221821.1","17352620.6"
"12","январь-декабрь","тысяча рублей","38601913.9","25183894.6"
"13","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"14","январь-декабрь","тысяча рублей","211526.6",""
