"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","199716.5","216612"
"5","январь-июнь","тысяча рублей","421629.6","405275.5"
"6","январь-сентябрь","тысяча рублей","593104.5","623049.3"
"7","январь-декабрь","тысяча рублей","906312.7","964458.8"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","6835.9","9076.8"
"10","январь-июнь","тысяча рублей","11733.8","16316.1"
"11","январь-сентябрь","тысяча рублей","16237.7","21796.2"
"12","январь-декабрь","тысяча рублей","22629.8","29616.9"
