"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","986217.2","1207457.7"
"5","январь-июнь","тысяча рублей","1604563.1","2041731.5"
"6","январь-сентябрь","тысяча рублей","2247580.3","2746151.4"
"7","январь-декабрь","тысяча рублей","5411612.7","6801539.6"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","2093.3",""
"10","январь-июнь","тысяча рублей","4048.4",""
"11","январь-сентябрь","тысяча рублей","6847.7",""
"12","январь-декабрь","тысяча рублей","9696",""
