"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","4430195","4424046.3"
"5","январь-июнь","тысяча рублей","10137841.2","10325857.8"
"6","январь-сентябрь","тысяча рублей","15764616.8","16736422.3"
"7","январь-декабрь","тысяча рублей","23187365","23253393.9"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","3829262.3","3946035.5"
"10","январь-июнь","тысяча рублей","8790769.1","9036463.4"
"11","январь-сентябрь","тысяча рублей","13667004.9","14415817.2"
"12","январь-декабрь","тысяча рублей","19527057.3","19950884.3"
