"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","17840398.4","22065214.5"
"5","январь-июнь","тысяча рублей","34878671","50486741.2"
"6","январь-сентябрь","тысяча рублей","53391854.6","79228237.4"
"7","январь-декабрь","тысяча рублей","76177279","106134200.3"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-июнь","тысяча рублей","","405535.5"
"10","январь-сентябрь","тысяча рублей","","576077"
"11","январь-декабрь","тысяча рублей","360823.4","788514.3"
"12","Раздел C Обрабатывающие производства","","",""
"13","январь-март","тысяча рублей","3418237.9","4020095.3"
"14","январь-июнь","тысяча рублей","6694532.2","8217957.5"
"15","январь-сентябрь","тысяча рублей","10014037.6","12547785.4"
"16","январь-декабрь","тысяча рублей","13366677","17015327.7"
"17","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"18","январь-март","тысяча рублей","6362009.1","6581885.2"
"19","январь-июнь","тысяча рублей","11032300.1","11431862.1"
"20","январь-сентябрь","тысяча рублей","15802723.1","15529628.4"
"21","январь-декабрь","тысяча рублей","22204991.3","21864051.3"
