"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","249639.8","270582.2"
"5","январь-июнь","тысяча рублей","476371","475040.7"
"6","январь-сентябрь","тысяча рублей","665995.9","599866.5"
"7","январь-декабрь","тысяча рублей","913552.8","758885.8"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","213404",""
"10","январь-июнь","тысяча рублей","358436",""
"11","январь-сентябрь","тысяча рублей","479600.3",""
