"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","15180396.3","16158920.9"
"5","январь-июнь","тысяча рублей","33407278.9","37271868.6"
"6","январь-сентябрь","тысяча рублей","64818712.7","66221782.1"
"7","январь-декабрь","тысяча рублей","93425889.4","101578903.5"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","10849123","11449415.8"
"10","январь-июнь","тысяча рублей","24689367.1","26655230.2"
"11","январь-сентябрь","тысяча рублей","50711634.7","48756842"
"12","январь-декабрь","тысяча рублей","73445528.7","75738085.4"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","6593.5",""
"15","январь-июнь","тысяча рублей","13381.6",""
"16","январь-сентябрь","тысяча рублей","26555.4",""
"17","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"18","январь-март","тысяча рублей","693312.2","789529.5"
"19","январь-июнь","тысяча рублей","1331259.4","1487284.2"
"20","январь-сентябрь","тысяча рублей","1918300.2","2151268.2"
"21","январь-декабрь","тысяча рублей","3269587.7","4491345.7"
