"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","211488.2","216271.9"
"5","январь-июнь","тысяча рублей","389312","384486"
"6","январь-сентябрь","тысяча рублей","550460.9","1030471.5"
"7","январь-декабрь","тысяча рублей","771973.6","1447821.8"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","165316.7",""
"10","январь-июнь","тысяча рублей","285213.3",""
"11","январь-сентябрь","тысяча рублей","378690.2",""
"12","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"13","январь-март","тысяча рублей","235.3",""
"14","январь-июнь","тысяча рублей","1416.6",""
"15","январь-сентябрь","тысяча рублей","1488.3",""
