"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","279503.9","327069.7"
"5","январь-июнь","тысяча рублей","494544.7","550876.3"
"6","январь-сентябрь","тысяча рублей","678112.5","839102.8"
"7","январь-декабрь","тысяча рублей","996796.4","1295210.6"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","167929.5",""
"10","январь-июнь","тысяча рублей","226115.1",""
"11","январь-сентябрь","тысяча рублей","258124.6",""
