"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","864333.3","865413.7"
"5","январь-июнь","тысяча рублей","2110558.6","2853104.9"
"6","январь-сентябрь","тысяча рублей","2899821.5","3321967.1"
"7","январь-декабрь","тысяча рублей","4135444.9","4154936.3"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","526966.4","551712.5"
"10","январь-июнь","тысяча рублей","951518.1","959954.9"
"11","январь-сентябрь","тысяча рублей","1360652.3","1101990.1"
"12","январь-декабрь","тысяча рублей","1976122.7","1326507.4"
