"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","303116.7","293475.5"
"5","январь-июнь","тысяча рублей","769976.2","689432.7"
"6","январь-сентябрь","тысяча рублей","1487618.4","1420404"
"7","январь-декабрь","тысяча рублей","1844522.9","1748753.8"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","246197.3",""
"10","январь-июнь","тысяча рублей","433616",""
"11","январь-сентябрь","тысяча рублей","600094.3",""
