"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","879494.2","832015.2"
"5","январь-июнь","тысяча рублей","1462307.3","1387804.7"
"6","январь-сентябрь","тысяча рублей","1921236","1673277.7"
"7","январь-декабрь","тысяча рублей","2738531.3","2216074.9"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","690658.5",""
"10","январь-июнь","тысяча рублей","1103236.9","1116476"
"11","январь-сентябрь","тысяча рублей","1418541.9","1215853"
"12","январь-декабрь","тысяча рублей","","1562729.3"
