"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","2601388.5","3118384.2"
"5","январь-июнь","тысяча рублей","4146390.7","5023138.4"
"6","январь-сентябрь","тысяча рублей","5338779.7","6810785.9"
"7","январь-декабрь","тысяча рублей","7443243.2","9710493.7"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","2056918.3",""
"10","январь-июнь","тысяча рублей","3206191.5","4132624.2"
"11","январь-сентябрь","тысяча рублей","4058801.6","5573526.3"
"12","январь-декабрь","тысяча рублей","","7726815"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-июнь","тысяча рублей","160",""
"15","январь-сентябрь","тысяча рублей","160",""
"16","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"17","январь-март","тысяча рублей","252561.3",""
"18","январь-июнь","тысяча рублей","340977.7",""
"19","январь-сентябрь","тысяча рублей","388472.3",""
"20","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"21","январь-март","тысяча рублей","2729.5",""
"22","январь-июнь","тысяча рублей","9136.4",""
"23","январь-сентябрь","тысяча рублей","17005.8",""
