"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","333151.3","254918.1"
"5","январь-июнь","тысяча рублей","498486.4","473030"
"6","январь-сентябрь","тысяча рублей","632246.1","674537.6"
"7","январь-декабрь","тысяча рублей","856200.7","1014075.3"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","110845",""
"10","январь-июнь","тысяча рублей","147120.3",""
"11","январь-сентябрь","тысяча рублей","173521.7",""
"12","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"13","январь-март","тысяча рублей","2084.6",""
"14","январь-июнь","тысяча рублей","4322.1",""
"15","январь-сентябрь","тысяча рублей","7278.6",""
