"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","229698.7","236863.9"
"5","январь-июнь","тысяча рублей","416002.5","421170.4"
"6","январь-сентябрь","тысяча рублей","587659.4","521326"
"7","январь-декабрь","тысяча рублей","815079.9","676537.4"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","176356","186683.8"
"10","январь-июнь","тысяча рублей","299918.8","313057.9"
"11","январь-сентябрь","тысяча рублей","399666.9","341212.2"
"12","январь-декабрь","тысяча рублей","569005.2","415170.9"
"13","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"14","январь-март","тысяча рублей","1604",""
"15","январь-июнь","тысяча рублей","9509",""
"16","январь-сентябрь","тысяча рублей","10726",""
