"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","1065110.4","1685074.1"
"5","январь-июнь","тысяча рублей","2671927.2","2697200.2"
"6","январь-сентябрь","тысяча рублей","4556763.3","4321109.9"
"7","январь-декабрь","тысяча рублей","7764595.8","5930145.2"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","500599","1110630"
"10","январь-июнь","тысяча рублей","1626986.5","1695711.4"
"11","январь-сентябрь","тысяча рублей","3082934.9","3139631.2"
"12","январь-декабрь","тысяча рублей","5738903.9","4238661.7"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","3346.6",""
"15","январь-июнь","тысяча рублей","17537.5",""
"16","январь-сентябрь","тысяча рублей","18423.2",""
"17","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"18","январь-март","тысяча рублей","454087.1","452935.5"
"19","январь-июнь","тысяча рублей","761519.8","730603.1"
"20","январь-сентябрь","тысяча рублей","1029434.9","822117.5"
"21","январь-декабрь","тысяча рублей","1465348.8","1050115"
