"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","275416","294550.1"
"5","январь-июнь","тысяча рублей","730016.6","506440.8"
"6","январь-сентябрь","тысяча рублей","1452150.7","1106204.2"
"7","январь-декабрь","тысяча рублей","1759636.9","1554365.6"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-июнь","тысяча рублей","264000",""
"10","январь-сентябрь","тысяча рублей","824000",""
"11","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"12","январь-март","тысяча рублей","224936.2",""
"13","январь-июнь","тысяча рублей","364597.1",""
"14","январь-сентябрь","тысяча рублей","474119",""
