"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","384277.7","510411.4"
"5","январь-июнь","тысяча рублей","639452.4","759644.6"
"6","январь-сентябрь","тысяча рублей","831583.9","955548.6"
"7","январь-декабрь","тысяча рублей","1225509.3","1605715.4"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","228580.3",""
"10","январь-июнь","тысяча рублей","289544",""
"11","январь-сентябрь","тысяча рублей","321849.6",""
"12","Раздел Е Водоснабжение; водоотведение, организация сбора и утилизация отходов, деятельность по ликвидации загрязнений","","",""
"13","январь-март","тысяча рублей","64.3",""
"14","январь-июнь","тысяча рублей","280",""
"15","январь-сентябрь","тысяча рублей","300",""
