"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","298274.6","287858.9"
"5","январь-июнь","тысяча рублей","523789.8","485543.4"
"6","январь-сентябрь","тысяча рублей","801320.7","790385.3"
"7","январь-декабрь","тысяча рублей","1113619.5","1105190.4"
"8","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"9","январь-март","тысяча рублей","203877.7",""
"10","январь-июнь","тысяча рублей","330362.9",""
"11","январь-сентябрь","тысяча рублей","445900.9",""
