"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","19207937.9","4700665.8"
"5","январь-июнь","тысяча рублей","23833702.2","7601243.6"
"6","январь-сентябрь","тысяча рублей","35857360.3","8524592.5"
"7","январь-декабрь","тысяча рублей","46853388.3","10152649.7"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","18195908.4","3689564.2"
"10","январь-июнь","тысяча рублей","21980629.6","5672835.8"
"11","январь-сентябрь","тысяча рублей","33247160.6","5721056.5"
"12","январь-декабрь","тысяча рублей","43269269.1","5766536.1"
"13","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"14","январь-март","тысяча рублей","685239.8",""
"15","январь-июнь","тысяча рублей","1051480.5",""
"16","январь-сентябрь","тысяча рублей","1382799.3",""
