"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","2377250","3151749.6"
"5","январь-июнь","тысяча рублей","7301881.1","6578756.9"
"6","январь-сентябрь","тысяча рублей","16278447.3","19137445.3"
"7","январь-декабрь","тысяча рублей","24080195.7","31486334.3"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","1793449","2559868.1"
"10","январь-июнь","тысяча рублей","6328672.1","5576999.8"
"11","январь-сентябрь","тысяча рублей","14797339.2","17701776.4"
"12","январь-декабрь","тысяча рублей","21878478.9","29473263.5"
"13","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"14","январь-март","тысяча рублей","541420.7","556721.6"
"15","январь-июнь","тысяча рублей","906856.1","928139.1"
"16","январь-сентябрь","тысяча рублей","1278162.3","1163904.6"
"17","январь-декабрь","тысяча рублей","1793844.7","1578064.6"
