"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","9864014.9","10049991.1"
"5","январь-июнь","тысяча рублей","22872473.1","22420712.6"
"6","январь-сентябрь","тысяча рублей","39997079.6","37299221.5"
"7","январь-декабрь","тысяча рублей","53853613.3","53401762.5"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","7499862.7","8846641.9"
"10","январь-июнь","тысяча рублей","19363473.1","19653069.5"
"11","январь-сентябрь","тысяча рублей","35359164.7","32671130.7"
"12","январь-декабрь","тысяча рублей","47360642.8","44937341.1"
"13","Раздел C Обрабатывающие производства","","",""
"14","январь-март","тысяча рублей","21128.4",""
"15","январь-июнь","тысяча рублей","53388.9",""
"16","январь-сентябрь","тысяча рублей","100585.8",""
"17","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"18","январь-март","тысяча рублей","292531.9",""
"19","январь-июнь","тысяча рублей","473424.5",""
"20","январь-сентябрь","тысяча рублей","627970.7",""
"21","январь-декабрь","тысяча рублей","868893",""
