"","V1","V2","V3","V4"
"1","Показатели","Ед. измерения","2020","2021"
"2","Отгружено товаров собственного производства, выполнено работ и услуг собственными силами (без субъектов малого предпринимательства) (с 2017 года)","","",""
"3","Всего по обследуемым видам экономической деятельности","","",""
"4","январь-март","тысяча рублей","337817.8","315499.7"
"5","январь-июнь","тысяча рублей","589861.5","586519.4"
"6","январь-сентябрь","тысяча рублей","828140.5","1344871.7"
"7","январь-декабрь","тысяча рублей","1123873.5","1604031.7"
"8","Раздел В Добыча полезных ископаемых","","",""
"9","январь-март","тысяча рублей","50350",""
"10","январь-июнь","тысяча рублей","60427",""
"11","январь-сентябрь","тысяча рублей","65002",""
"12","Раздел D Обеспечение электрической энергией, газом и паром; кондиционирование воздуха","","",""
"13","январь-март","тысяча рублей","235212.7","238435.8"
"14","январь-июнь","тысяча рублей","417261.6","428577.6"
"15","январь-сентябрь","тысяча рублей","586319.9","561871.1"
"16","январь-декабрь","тысяча рублей","786234.4","694994.8"
